driver,lap_number,lap_time,position,race
33,1.0,95.298,3.0,70th Anniversary
33,2.0,91.968,3.0,70th Anniversary
33,3.0,91.972,3.0,70th Anniversary
33,4.0,92.125,3.0,70th Anniversary
33,5.0,92.251,3.0,70th Anniversary
33,6.0,92.045,3.0,70th Anniversary
33,7.0,92.159,3.0,70th Anniversary
33,8.0,92.17,3.0,70th Anniversary
33,9.0,92.449,3.0,70th Anniversary
33,10.0,92.36,3.0,70th Anniversary
33,11.0,92.56,3.0,70th Anniversary
33,12.0,92.942,3.0,70th Anniversary
33,13.0,92.588,3.0,70th Anniversary
33,14.0,92.234,2.0,70th Anniversary
33,15.0,92.096,1.0,70th Anniversary
33,16.0,91.913,1.0,70th Anniversary
33,17.0,91.899,1.0,70th Anniversary
33,18.0,91.759,1.0,70th Anniversary
33,19.0,91.694,1.0,70th Anniversary
33,20.0,91.577,1.0,70th Anniversary
33,21.0,91.531,1.0,70th Anniversary
33,22.0,91.464,1.0,70th Anniversary
33,23.0,91.312,1.0,70th Anniversary
33,24.0,91.334,1.0,70th Anniversary
33,25.0,91.082,1.0,70th Anniversary
33,26.0,90.444,1.0,70th Anniversary
33,27.0,111.114,1.0,70th Anniversary
33,28.0,91.598,1.0,70th Anniversary
33,29.0,91.294,1.0,70th Anniversary
33,30.0,90.545,1.0,70th Anniversary
33,31.0,90.361,1.0,70th Anniversary
33,32.0,89.666,1.0,70th Anniversary
33,33.0,111.315,2.0,70th Anniversary
33,34.0,90.892,2.0,70th Anniversary
33,35.0,90.809,2.0,70th Anniversary
33,36.0,90.985,2.0,70th Anniversary
33,37.0,90.791,2.0,70th Anniversary
33,38.0,90.471,2.0,70th Anniversary
33,39.0,90.682,2.0,70th Anniversary
33,40.0,90.174,2.0,70th Anniversary
33,41.0,90.153,2.0,70th Anniversary
33,42.0,90.102,1.0,70th Anniversary
33,43.0,90.16,1.0,70th Anniversary
33,44.0,89.54,1.0,70th Anniversary
33,45.0,89.822,1.0,70th Anniversary
33,46.0,89.465,1.0,70th Anniversary
33,47.0,89.578,1.0,70th Anniversary
33,48.0,89.54,1.0,70th Anniversary
33,49.0,89.523,1.0,70th Anniversary
33,50.0,89.629,1.0,70th Anniversary
33,51.0,90.013,1.0,70th Anniversary
33,52.0,90.545,1.0,70th Anniversary
44,1.0,93.847,2.0,70th Anniversary
44,2.0,91.44,2.0,70th Anniversary
44,3.0,91.448,2.0,70th Anniversary
44,4.0,91.859,2.0,70th Anniversary
44,5.0,92.698,2.0,70th Anniversary
44,6.0,92.401,2.0,70th Anniversary
44,7.0,92.352,2.0,70th Anniversary
44,8.0,92.481,2.0,70th Anniversary
44,9.0,92.685,2.0,70th Anniversary
44,10.0,92.615,2.0,70th Anniversary
44,11.0,92.752,2.0,70th Anniversary
44,12.0,92.891,2.0,70th Anniversary
44,13.0,92.782,2.0,70th Anniversary
44,14.0,91.888,1.0,70th Anniversary
44,15.0,110.491,5.0,70th Anniversary
44,16.0,91.423,4.0,70th Anniversary
44,17.0,91.441,4.0,70th Anniversary
44,18.0,91.595,4.0,70th Anniversary
44,19.0,91.602,3.0,70th Anniversary
44,20.0,92.118,3.0,70th Anniversary
44,21.0,92.435,3.0,70th Anniversary
44,22.0,92.213,3.0,70th Anniversary
44,23.0,92.175,3.0,70th Anniversary
44,24.0,93.531,3.0,70th Anniversary
44,25.0,92.658,3.0,70th Anniversary
44,26.0,92.333,3.0,70th Anniversary
44,27.0,92.341,3.0,70th Anniversary
44,28.0,91.643,3.0,70th Anniversary
44,29.0,91.702,3.0,70th Anniversary
44,30.0,91.217,3.0,70th Anniversary
44,31.0,91.325,3.0,70th Anniversary
44,32.0,90.688,3.0,70th Anniversary
44,33.0,90.705,1.0,70th Anniversary
44,34.0,90.701,1.0,70th Anniversary
44,35.0,91.101,1.0,70th Anniversary
44,36.0,91.118,1.0,70th Anniversary
44,37.0,91.045,1.0,70th Anniversary
44,38.0,90.785,1.0,70th Anniversary
44,39.0,91.077,1.0,70th Anniversary
44,40.0,91.348,1.0,70th Anniversary
44,41.0,91.236,1.0,70th Anniversary
44,42.0,109.543,4.0,70th Anniversary
44,43.0,88.451,4.0,70th Anniversary
44,44.0,89.625,4.0,70th Anniversary
44,45.0,89.997,3.0,70th Anniversary
44,46.0,88.599,3.0,70th Anniversary
44,47.0,89.363,3.0,70th Anniversary
44,48.0,88.882,3.0,70th Anniversary
44,49.0,89.887,3.0,70th Anniversary
44,50.0,89.795,2.0,70th Anniversary
44,51.0,90.613,2.0,70th Anniversary
44,52.0,92.378,2.0,70th Anniversary
77,1.0,92.846,1.0,70th Anniversary
77,2.0,91.384,1.0,70th Anniversary
77,3.0,91.656,1.0,70th Anniversary
77,4.0,91.562,1.0,70th Anniversary
77,5.0,92.275,1.0,70th Anniversary
77,6.0,92.752,1.0,70th Anniversary
77,7.0,92.153,1.0,70th Anniversary
77,8.0,92.574,1.0,70th Anniversary
77,9.0,92.636,1.0,70th Anniversary
77,10.0,92.583,1.0,70th Anniversary
77,11.0,92.673,1.0,70th Anniversary
77,12.0,92.503,1.0,70th Anniversary
77,13.0,91.947,1.0,70th Anniversary
