driver,lap_number,lap_time,position,race
44,1.0,127.777,1.0,Bahrain
44,2.0,,1.0,Bahrain
44,3.0,,1.0,Bahrain
44,4.0,144.304,1.0,Bahrain
44,5.0,147.673,1.0,Bahrain
44,6.0,140.062,1.0,Bahrain
44,7.0,138.867,1.0,Bahrain
44,8.0,,1.0,Bahrain
44,9.0,93.733,1.0,Bahrain
44,10.0,94.357,1.0,Bahrain
44,11.0,94.49,1.0,Bahrain
44,12.0,94.464,1.0,Bahrain
44,13.0,94.883,1.0,Bahrain
44,14.0,94.785,1.0,Bahrain
44,15.0,94.824,1.0,Bahrain
44,16.0,94.838,1.0,Bahrain
44,17.0,95.096,1.0,Bahrain
44,18.0,94.929,1.0,Bahrain
44,19.0,97.767,1.0,Bahrain
44,20.0,114.337,3.0,Bahrain
44,21.0,94.948,1.0,Bahrain
44,22.0,94.165,1.0,Bahrain
44,23.0,93.337,1.0,Bahrain
44,24.0,94.154,1.0,Bahrain
44,25.0,93.753,1.0,Bahrain
44,26.0,94.03,1.0,Bahrain
44,27.0,93.616,1.0,Bahrain
44,28.0,93.672,1.0,Bahrain
44,29.0,93.844,1.0,Bahrain
44,30.0,94.512,1.0,Bahrain
44,31.0,94.73,1.0,Bahrain
44,32.0,94.259,1.0,Bahrain
44,33.0,94.377,1.0,Bahrain
44,34.0,94.59,1.0,Bahrain
44,35.0,97.475,1.0,Bahrain
44,36.0,115.511,1.0,Bahrain
44,37.0,92.897,1.0,Bahrain
44,38.0,92.864,1.0,Bahrain
44,39.0,93.206,1.0,Bahrain
44,40.0,93.525,1.0,Bahrain
44,41.0,93.228,1.0,Bahrain
44,42.0,92.881,1.0,Bahrain
44,43.0,93.61,1.0,Bahrain
44,44.0,93.121,1.0,Bahrain
44,45.0,93.692,1.0,Bahrain
44,46.0,93.493,1.0,Bahrain
44,47.0,93.495,1.0,Bahrain
44,48.0,93.624,1.0,Bahrain
44,49.0,93.629,1.0,Bahrain
44,50.0,93.672,1.0,Bahrain
44,51.0,93.752,1.0,Bahrain
44,52.0,94.103,1.0,Bahrain
44,53.0,94.256,1.0,Bahrain
44,54.0,94.153,1.0,Bahrain
44,55.0,127.139,1.0,Bahrain
44,56.0,142.229,1.0,Bahrain
44,57.0,,1.0,Bahrain
33,1.0,129.912,3.0,Bahrain
33,2.0,,2.0,Bahrain
33,3.0,,2.0,Bahrain
33,4.0,144.266,2.0,Bahrain
33,5.0,148.753,2.0,Bahrain
33,6.0,138.96,2.0,Bahrain
33,7.0,138.648,2.0,Bahrain
33,8.0,,2.0,Bahrain
33,9.0,94.185,2.0,Bahrain
33,10.0,94.535,2.0,Bahrain
33,11.0,94.705,2.0,Bahrain
33,12.0,94.699,2.0,Bahrain
33,13.0,95.153,2.0,Bahrain
33,14.0,95.2,2.0,Bahrain
33,15.0,95.052,2.0,Bahrain
33,16.0,95.589,2.0,Bahrain
33,17.0,95.258,2.0,Bahrain
33,18.0,95.932,2.0,Bahrain
33,19.0,95.729,2.0,Bahrain
33,20.0,98.1,1.0,Bahrain
33,21.0,114.175,2.0,Bahrain
33,22.0,93.085,2.0,Bahrain
33,23.0,93.781,2.0,Bahrain
33,24.0,93.507,2.0,Bahrain
33,25.0,93.873,2.0,Bahrain
33,26.0,93.87,2.0,Bahrain
33,27.0,93.809,2.0,Bahrain
33,28.0,94.106,2.0,Bahrain
33,29.0,94.323,2.0,Bahrain
33,30.0,94.325,2.0,Bahrain
33,31.0,94.551,2.0,Bahrain
33,32.0,94.387,2.0,Bahrain
33,33.0,94.987,2.0,Bahrain
33,34.0,97.439,2.0,Bahrain
33,35.0,115.512,3.0,Bahrain
33,36.0,92.663,2.0,Bahrain
33,37.0,92.727,2.0,Bahrain
33,38.0,93.085,2.0,Bahrain
33,39.0,92.989,2.0,Bahrain
33,40.0,93.683,2.0,Bahrain
33,41.0,92.73,2.0,Bahrain
33,42.0,93.217,2.0,Bahrain
33,43.0,93.402,2.0,Bahrain
33,44.0,93.866,2.0,Bahrain
33,45.0,94.123,2.0,Bahrain
