driver,lap_number,lap_time,position,race
44,1.0,112.322,1.0,Belgium
44,2.0,110.242,1.0,Belgium
44,3.0,110.073,1.0,Belgium
44,4.0,110.269,1.0,Belgium
44,5.0,109.47,1.0,Belgium
44,6.0,110.117,1.0,Belgium
44,7.0,109.921,1.0,Belgium
44,8.0,109.993,1.0,Belgium
44,9.0,109.642,1.0,Belgium
44,10.0,109.871,1.0,Belgium
44,11.0,,1.0,Belgium
44,12.0,,1.0,Belgium
44,13.0,,1.0,Belgium
44,14.0,,1.0,Belgium
44,15.0,108.325,1.0,Belgium
44,16.0,108.247,1.0,Belgium
44,17.0,108.165,1.0,Belgium
44,18.0,108.47,1.0,Belgium
44,19.0,108.325,1.0,Belgium
44,20.0,108.506,1.0,Belgium
44,21.0,108.592,1.0,Belgium
44,22.0,108.779,1.0,Belgium
44,23.0,108.549,1.0,Belgium
44,24.0,108.123,1.0,Belgium
44,25.0,108.319,1.0,Belgium
44,26.0,107.851,1.0,Belgium
44,27.0,108.274,1.0,Belgium
44,28.0,107.758,1.0,Belgium
44,29.0,107.964,1.0,Belgium
44,30.0,108.176,1.0,Belgium
44,31.0,108.856,1.0,Belgium
44,32.0,108.311,1.0,Belgium
44,33.0,108.174,1.0,Belgium
44,34.0,108.481,1.0,Belgium
44,35.0,108.108,1.0,Belgium
44,36.0,108.316,1.0,Belgium
44,37.0,109.204,1.0,Belgium
44,38.0,108.92,1.0,Belgium
44,39.0,108.521,1.0,Belgium
44,40.0,108.877,1.0,Belgium
44,41.0,109.86,1.0,Belgium
44,42.0,111.398,1.0,Belgium
44,43.0,109.596,1.0,Belgium
44,44.0,109.957,1.0,Belgium
77,1.0,113.738,3.0,Belgium
77,2.0,110.116,2.0,Belgium
77,3.0,110.243,2.0,Belgium
77,4.0,109.937,2.0,Belgium
77,5.0,110.001,2.0,Belgium
77,6.0,110.225,2.0,Belgium
77,7.0,109.92,2.0,Belgium
77,8.0,109.897,2.0,Belgium
77,9.0,109.82,2.0,Belgium
77,10.0,110.305,2.0,Belgium
77,11.0,,2.0,Belgium
77,12.0,,2.0,Belgium
77,13.0,,2.0,Belgium
77,14.0,,2.0,Belgium
77,15.0,108.824,2.0,Belgium
77,16.0,108.156,2.0,Belgium
77,17.0,108.481,2.0,Belgium
77,18.0,109.142,2.0,Belgium
77,19.0,108.752,2.0,Belgium
77,20.0,108.731,2.0,Belgium
77,21.0,108.85,2.0,Belgium
77,22.0,108.719,2.0,Belgium
77,23.0,108.538,2.0,Belgium
77,24.0,108.937,2.0,Belgium
77,25.0,108.407,2.0,Belgium
77,26.0,108.082,2.0,Belgium
77,27.0,107.983,2.0,Belgium
77,28.0,108.332,2.0,Belgium
77,29.0,108.129,2.0,Belgium
77,30.0,108.145,2.0,Belgium
77,31.0,108.595,2.0,Belgium
77,32.0,108.504,2.0,Belgium
77,33.0,108.457,2.0,Belgium
77,34.0,108.664,2.0,Belgium
77,35.0,108.687,2.0,Belgium
77,36.0,108.753,2.0,Belgium
77,37.0,108.894,2.0,Belgium
77,38.0,108.964,2.0,Belgium
77,39.0,109.051,2.0,Belgium
77,40.0,109.793,2.0,Belgium
77,41.0,109.881,2.0,Belgium
77,42.0,109.801,2.0,Belgium
77,43.0,111.094,2.0,Belgium
77,44.0,111.414,2.0,Belgium
33,1.0,114.844,4.0,Belgium
33,2.0,110.614,3.0,Belgium
33,3.0,110.335,3.0,Belgium
33,4.0,110.568,3.0,Belgium
33,5.0,110.19,3.0,Belgium
33,6.0,110.468,3.0,Belgium
33,7.0,110.347,3.0,Belgium
33,8.0,110.125,3.0,Belgium
