driver,lap_number,lap_time,position,race
44,1.0,95.032,2.0,Eifel
44,2.0,92.41,2.0,Eifel
44,3.0,92.165,2.0,Eifel
44,4.0,92.543,2.0,Eifel
44,5.0,92.153,2.0,Eifel
44,6.0,91.951,2.0,Eifel
44,7.0,92.101,2.0,Eifel
44,8.0,91.622,2.0,Eifel
44,9.0,91.835,2.0,Eifel
44,10.0,91.996,2.0,Eifel
44,11.0,91.853,2.0,Eifel
44,12.0,92.072,2.0,Eifel
44,13.0,91.704,1.0,Eifel
44,14.0,91.781,1.0,Eifel
44,15.0,91.74,1.0,Eifel
44,16.0,103.842,1.0,Eifel
44,17.0,116.488,1.0,Eifel
44,18.0,90.795,1.0,Eifel
44,19.0,90.454,1.0,Eifel
44,20.0,90.566,1.0,Eifel
44,21.0,90.109,1.0,Eifel
44,22.0,90.424,1.0,Eifel
44,23.0,90.358,1.0,Eifel
44,24.0,90.522,1.0,Eifel
44,25.0,90.574,1.0,Eifel
44,26.0,90.51,1.0,Eifel
44,27.0,90.753,1.0,Eifel
44,28.0,91.157,1.0,Eifel
44,29.0,90.98,1.0,Eifel
44,30.0,90.701,1.0,Eifel
44,31.0,91.095,1.0,Eifel
44,32.0,91.55,1.0,Eifel
44,33.0,91.108,1.0,Eifel
44,34.0,90.704,1.0,Eifel
44,35.0,90.701,1.0,Eifel
44,36.0,90.841,1.0,Eifel
44,37.0,91.027,1.0,Eifel
44,38.0,91.023,1.0,Eifel
44,39.0,90.651,1.0,Eifel
44,40.0,90.461,1.0,Eifel
44,41.0,90.704,1.0,Eifel
44,42.0,90.667,1.0,Eifel
44,43.0,90.463,1.0,Eifel
44,44.0,90.448,1.0,Eifel
44,45.0,106.683,1.0,Eifel
44,46.0,,1.0,Eifel
44,47.0,,1.0,Eifel
44,48.0,139.14,1.0,Eifel
44,49.0,,1.0,Eifel
44,50.0,90.442,1.0,Eifel
44,51.0,88.487,1.0,Eifel
44,52.0,88.335,1.0,Eifel
44,53.0,88.257,1.0,Eifel
44,54.0,89.293,1.0,Eifel
44,55.0,89.047,1.0,Eifel
44,56.0,89.226,1.0,Eifel
44,57.0,89.241,1.0,Eifel
44,58.0,88.145,1.0,Eifel
44,59.0,89.067,1.0,Eifel
44,60.0,88.971,1.0,Eifel
33,1.0,95.799,3.0,Eifel
33,2.0,92.647,3.0,Eifel
33,3.0,92.588,3.0,Eifel
33,4.0,92.525,3.0,Eifel
33,5.0,92.335,3.0,Eifel
33,6.0,92.108,3.0,Eifel
33,7.0,91.938,3.0,Eifel
33,8.0,91.933,3.0,Eifel
33,9.0,92.009,3.0,Eifel
33,10.0,92.264,3.0,Eifel
33,11.0,91.927,3.0,Eifel
33,12.0,91.822,3.0,Eifel
33,13.0,93.148,2.0,Eifel
33,14.0,92.446,2.0,Eifel
33,15.0,91.817,2.0,Eifel
33,16.0,104.836,2.0,Eifel
33,17.0,112.775,2.0,Eifel
33,18.0,91.051,2.0,Eifel
33,19.0,91.15,2.0,Eifel
33,20.0,90.439,2.0,Eifel
33,21.0,90.516,2.0,Eifel
33,22.0,90.777,2.0,Eifel
33,23.0,90.627,2.0,Eifel
33,24.0,90.746,2.0,Eifel
33,25.0,90.939,2.0,Eifel
33,26.0,90.817,2.0,Eifel
33,27.0,90.836,2.0,Eifel
33,28.0,91.086,2.0,Eifel
33,29.0,91.324,2.0,Eifel
33,30.0,91.569,2.0,Eifel
33,31.0,91.565,2.0,Eifel
33,32.0,90.923,2.0,Eifel
33,33.0,91.096,2.0,Eifel
33,34.0,91.836,2.0,Eifel
33,35.0,92.035,2.0,Eifel
33,36.0,91.172,2.0,Eifel
33,37.0,90.919,2.0,Eifel
33,38.0,91.267,2.0,Eifel
33,39.0,91.1,2.0,Eifel
33,40.0,91.006,2.0,Eifel
33,41.0,91.107,2.0,Eifel
33,42.0,91.11,2.0,Eifel
33,43.0,90.825,2.0,Eifel
33,44.0,90.988,2.0,Eifel
33,45.0,107.798,2.0,Eifel
33,46.0,,2.0,Eifel
33,47.0,,2.0,Eifel
33,48.0,139.129,2.0,Eifel
33,49.0,,2.0,Eifel
33,50.0,91.024,2.0,Eifel
33,51.0,88.744,2.0,Eifel
33,52.0,89.058,2.0,Eifel
33,53.0,88.854,2.0,Eifel
33,54.0,89.235,2.0,Eifel
33,55.0,88.709,2.0,Eifel
33,56.0,89.118,2.0,Eifel
33,57.0,89.46,2.0,Eifel
33,58.0,88.994,2.0,Eifel
33,59.0,90.583,2.0,Eifel
33,60.0,88.139,2.0,Eifel
3,1.0,98.224,5.0,Eifel
3,2.0,94.973,5.0,Eifel
3,3.0,94.134,5.0,Eifel
3,4.0,94.123,5.0,Eifel
3,5.0,93.912,5.0,Eifel
3,6.0,94.611,5.0,Eifel
3,7.0,93.956,5.0,Eifel
3,8.0,94.077,5.0,Eifel
3,9.0,93.194,4.0,Eifel
3,10.0,93.206,4.0,Eifel
3,11.0,93.08,4.0,Eifel
3,12.0,93.102,4.0,Eifel
3,13.0,93.023,4.0,Eifel
3,14.0,93.28,3.0,Eifel
3,15.0,93.935,4.0,Eifel
3,16.0,114.702,4.0,Eifel
3,17.0,113.362,9.0,Eifel
3,18.0,92.534,7.0,Eifel
3,19.0,92.255,7.0,Eifel
3,20.0,92.352,7.0,Eifel
3,21.0,92.38,7.0,Eifel
3,22.0,92.69,6.0,Eifel
3,23.0,92.428,6.0,Eifel
3,24.0,92.421,6.0,Eifel
3,25.0,92.486,6.0,Eifel
3,26.0,92.478,6.0,Eifel
3,27.0,92.528,6.0,Eifel
3,28.0,92.906,5.0,Eifel
3,29.0,92.09,4.0,Eifel
3,30.0,92.235,3.0,Eifel
3,31.0,92.116,3.0,Eifel
3,32.0,91.852,3.0,Eifel
3,33.0,91.806,3.0,Eifel
3,34.0,91.972,3.0,Eifel
3,35.0,93.069,3.0,Eifel
3,36.0,91.584,3.0,Eifel
3,37.0,91.478,3.0,Eifel
3,38.0,91.852,3.0,Eifel
3,39.0,91.494,3.0,Eifel
3,40.0,91.605,3.0,Eifel
3,41.0,91.388,3.0,Eifel
3,42.0,91.096,3.0,Eifel
3,43.0,91.447,3.0,Eifel
3,44.0,97.214,3.0,Eifel
3,45.0,136.01,4.0,Eifel
3,46.0,111.967,3.0,Eifel
3,47.0,106.951,3.0,Eifel
3,48.0,137.477,3.0,Eifel
3,49.0,149.35,3.0,Eifel
3,50.0,91.905,3.0,Eifel
3,51.0,90.286,3.0,Eifel
3,52.0,89.874,3.0,Eifel
3,53.0,89.584,3.0,Eifel
3,54.0,89.969,3.0,Eifel
3,55.0,90.251,3.0,Eifel
3,56.0,90.159,3.0,Eifel
3,57.0,90.009,3.0,Eifel
3,58.0,89.789,3.0,Eifel
3,59.0,89.701,3.0,Eifel
3,60.0,90.322,3.0,Eifel
11,1.0,100.884,8.0,Eifel
11,2.0,95.329,8.0,Eifel
11,3.0,94.201,8.0,Eifel
11,4.0,94.559,8.0,Eifel
11,5.0,93.973,8.0,Eifel
11,6.0,94.565,8.0,Eifel
11,7.0,93.606,7.0,Eifel
11,8.0,93.361,7.0,Eifel
11,9.0,93.92,7.0,Eifel
11,10.0,94.858,6.0,Eifel
11,11.0,93.522,6.0,Eifel
11,12.0,93.274,6.0,Eifel
11,13.0,92.944,6.0,Eifel
11,14.0,93.428,6.0,Eifel
11,15.0,93.2,6.0,Eifel
11,16.0,111.293,6.0,Eifel
11,17.0,94.598,4.0,Eifel
11,18.0,93.978,4.0,Eifel
11,19.0,93.705,4.0,Eifel
11,20.0,93.275,4.0,Eifel
11,21.0,92.848,4.0,Eifel
11,22.0,93.121,4.0,Eifel
11,23.0,93.189,4.0,Eifel
11,24.0,93.106,4.0,Eifel
11,25.0,92.97,4.0,Eifel
11,26.0,93.166,4.0,Eifel
11,27.0,93.64,4.0,Eifel
11,28.0,96.465,4.0,Eifel
11,29.0,113.285,6.0,Eifel
11,30.0,92.456,5.0,Eifel
11,31.0,91.438,5.0,Eifel
11,32.0,91.606,5.0,Eifel
11,33.0,93.307,4.0,Eifel
11,34.0,92.923,4.0,Eifel
11,35.0,91.264,4.0,Eifel
11,36.0,91.27,4.0,Eifel
11,37.0,91.011,4.0,Eifel
11,38.0,90.989,4.0,Eifel
11,39.0,90.575,4.0,Eifel
11,40.0,90.633,4.0,Eifel
11,41.0,90.757,4.0,Eifel
11,42.0,90.541,4.0,Eifel
11,43.0,90.476,4.0,Eifel
11,44.0,97.965,4.0,Eifel
11,45.0,123.507,3.0,Eifel
11,46.0,123.907,4.0,Eifel
11,47.0,102.868,4.0,Eifel
11,48.0,132.177,4.0,Eifel
11,49.0,148.904,4.0,Eifel
11,50.0,92.208,4.0,Eifel
11,51.0,90.471,4.0,Eifel
11,52.0,89.968,4.0,Eifel
11,53.0,90.056,4.0,Eifel
11,54.0,90.14,4.0,Eifel
11,55.0,90.235,4.0,Eifel
