driver,lap_number,lap_time,position,race
44,1.0,84.142,3.0,Emilia Romagna
44,2.0,80.226,3.0,Emilia Romagna
44,3.0,79.664,3.0,Emilia Romagna
44,4.0,79.891,3.0,Emilia Romagna
44,5.0,80.183,3.0,Emilia Romagna
44,6.0,79.842,3.0,Emilia Romagna
44,7.0,79.651,3.0,Emilia Romagna
44,8.0,79.443,3.0,Emilia Romagna
44,9.0,79.711,3.0,Emilia Romagna
44,10.0,79.634,3.0,Emilia Romagna
44,11.0,79.136,3.0,Emilia Romagna
44,12.0,79.504,3.0,Emilia Romagna
44,13.0,79.155,3.0,Emilia Romagna
44,14.0,79.207,3.0,Emilia Romagna
44,15.0,79.128,3.0,Emilia Romagna
44,16.0,79.186,3.0,Emilia Romagna
44,17.0,79.133,3.0,Emilia Romagna
44,18.0,79.017,2.0,Emilia Romagna
44,19.0,78.477,1.0,Emilia Romagna
44,20.0,78.544,1.0,Emilia Romagna
44,21.0,78.416,1.0,Emilia Romagna
44,22.0,78.367,1.0,Emilia Romagna
44,23.0,77.83,1.0,Emilia Romagna
44,24.0,78.026,1.0,Emilia Romagna
44,25.0,78.546,1.0,Emilia Romagna
44,26.0,78.671,1.0,Emilia Romagna
44,27.0,78.302,1.0,Emilia Romagna
44,28.0,78.402,1.0,Emilia Romagna
44,29.0,77.502,1.0,Emilia Romagna
44,30.0,88.075,1.0,Emilia Romagna
44,31.0,103.092,1.0,Emilia Romagna
44,32.0,78.326,1.0,Emilia Romagna
44,33.0,78.073,1.0,Emilia Romagna
44,34.0,78.005,1.0,Emilia Romagna
44,35.0,78.286,1.0,Emilia Romagna
44,36.0,77.804,1.0,Emilia Romagna
44,37.0,77.941,1.0,Emilia Romagna
44,38.0,77.848,1.0,Emilia Romagna
44,39.0,78.178,1.0,Emilia Romagna
44,40.0,78.232,1.0,Emilia Romagna
44,41.0,77.901,1.0,Emilia Romagna
44,42.0,78.211,1.0,Emilia Romagna
44,43.0,78.528,1.0,Emilia Romagna
44,44.0,77.706,1.0,Emilia Romagna
44,45.0,77.963,1.0,Emilia Romagna
44,46.0,78.007,1.0,Emilia Romagna
44,47.0,77.853,1.0,Emilia Romagna
44,48.0,77.279,1.0,Emilia Romagna
44,49.0,77.725,1.0,Emilia Romagna
