driver,lap_number,lap_time,position,race
44,1.0,94.01,1.0,Great Britain
44,2.0,126.445,1.0,Great Britain
44,3.0,,1.0,Great Britain
44,4.0,,1.0,Great Britain
44,5.0,138.933,1.0,Great Britain
44,6.0,90.533,1.0,Great Britain
44,7.0,91.143,1.0,Great Britain
44,8.0,90.943,1.0,Great Britain
44,9.0,90.868,1.0,Great Britain
44,10.0,90.838,1.0,Great Britain
44,11.0,90.903,1.0,Great Britain
44,12.0,90.705,1.0,Great Britain
44,13.0,125.834,1.0,Great Britain
44,14.0,,1.0,Great Britain
44,15.0,,1.0,Great Britain
44,16.0,,1.0,Great Britain
44,17.0,,1.0,Great Britain
44,18.0,142.988,1.0,Great Britain
44,19.0,90.534,1.0,Great Britain
44,20.0,90.371,1.0,Great Britain
44,21.0,90.188,1.0,Great Britain
44,22.0,90.324,1.0,Great Britain
44,23.0,89.812,1.0,Great Britain
44,24.0,90.127,1.0,Great Britain
44,25.0,89.944,1.0,Great Britain
44,26.0,90.162,1.0,Great Britain
44,27.0,90.312,1.0,Great Britain
44,28.0,90.266,1.0,Great Britain
44,29.0,90.079,1.0,Great Britain
44,30.0,89.712,1.0,Great Britain
44,31.0,89.66,1.0,Great Britain
44,32.0,89.995,1.0,Great Britain
44,33.0,89.326,1.0,Great Britain
44,34.0,89.321,1.0,Great Britain
44,35.0,89.693,1.0,Great Britain
44,36.0,89.688,1.0,Great Britain
44,37.0,89.663,1.0,Great Britain
44,38.0,89.553,1.0,Great Britain
44,39.0,89.762,1.0,Great Britain
44,40.0,89.282,1.0,Great Britain
44,41.0,89.254,1.0,Great Britain
44,42.0,89.269,1.0,Great Britain
44,43.0,89.525,1.0,Great Britain
44,44.0,89.364,1.0,Great Britain
44,45.0,89.238,1.0,Great Britain
44,46.0,89.432,1.0,Great Britain
44,47.0,89.455,1.0,Great Britain
44,48.0,89.821,1.0,Great Britain
44,49.0,90.12,1.0,Great Britain
44,50.0,91.081,1.0,Great Britain
44,51.0,92.185,1.0,Great Britain
44,52.0,115.484,1.0,Great Britain
33,1.0,96.913,4.0,Great Britain
33,2.0,126.326,3.0,Great Britain
33,3.0,,3.0,Great Britain
33,4.0,,3.0,Great Britain
33,5.0,138.752,3.0,Great Britain
33,6.0,91.959,3.0,Great Britain
33,7.0,92.018,3.0,Great Britain
33,8.0,91.374,3.0,Great Britain
33,9.0,91.46,3.0,Great Britain
33,10.0,91.143,3.0,Great Britain
33,11.0,91.204,3.0,Great Britain
33,12.0,91.181,3.0,Great Britain
33,13.0,128.84,3.0,Great Britain
33,14.0,,3.0,Great Britain
33,15.0,,3.0,Great Britain
33,16.0,,3.0,Great Britain
33,17.0,,3.0,Great Britain
33,18.0,141.921,3.0,Great Britain
33,19.0,92.334,3.0,Great Britain
33,20.0,91.096,3.0,Great Britain
33,21.0,90.83,3.0,Great Britain
33,22.0,90.503,3.0,Great Britain
33,23.0,90.746,3.0,Great Britain
33,24.0,91.03,3.0,Great Britain
33,25.0,90.376,3.0,Great Britain
33,26.0,90.415,3.0,Great Britain
33,27.0,90.617,3.0,Great Britain
33,28.0,90.447,3.0,Great Britain
