driver,lap_number,lap_time,position,race
44,1.0,95.67,1.0,Hungary
44,2.0,91.458,1.0,Hungary
44,3.0,94.916,1.0,Hungary
44,4.0,113.821,3.0,Hungary
44,5.0,85.898,1.0,Hungary
44,6.0,83.991,1.0,Hungary
44,7.0,83.327,1.0,Hungary
44,8.0,82.17,1.0,Hungary
44,9.0,82.13,1.0,Hungary
44,10.0,81.522,1.0,Hungary
44,11.0,82.127,1.0,Hungary
44,12.0,81.886,1.0,Hungary
44,13.0,81.873,1.0,Hungary
44,14.0,81.72,1.0,Hungary
44,15.0,81.62,1.0,Hungary
44,16.0,81.436,1.0,Hungary
44,17.0,81.855,1.0,Hungary
44,18.0,81.363,1.0,Hungary
44,19.0,82.397,1.0,Hungary
44,20.0,81.887,1.0,Hungary
44,21.0,81.807,1.0,Hungary
44,22.0,81.727,1.0,Hungary
44,23.0,81.687,1.0,Hungary
44,24.0,81.341,1.0,Hungary
44,25.0,81.95,1.0,Hungary
44,26.0,81.39,1.0,Hungary
44,27.0,81.741,1.0,Hungary
44,28.0,81.532,1.0,Hungary
44,29.0,81.265,1.0,Hungary
44,30.0,81.198,1.0,Hungary
44,31.0,81.315,1.0,Hungary
44,32.0,81.508,1.0,Hungary
44,33.0,81.553,1.0,Hungary
44,34.0,81.693,1.0,Hungary
44,35.0,83.684,1.0,Hungary
44,36.0,81.455,1.0,Hungary
44,37.0,83.974,1.0,Hungary
44,38.0,100.605,1.0,Hungary
44,39.0,80.301,1.0,Hungary
44,40.0,80.092,1.0,Hungary
44,41.0,79.846,1.0,Hungary
44,42.0,79.862,1.0,Hungary
44,43.0,80.36,1.0,Hungary
44,44.0,79.963,1.0,Hungary
44,45.0,79.824,1.0,Hungary
44,46.0,79.737,1.0,Hungary
44,47.0,79.87,1.0,Hungary
44,48.0,79.715,1.0,Hungary
44,49.0,79.849,1.0,Hungary
44,50.0,80.25,1.0,Hungary
44,51.0,80.155,1.0,Hungary
44,52.0,80.125,1.0,Hungary
44,53.0,79.573,1.0,Hungary
44,54.0,80.306,1.0,Hungary
44,55.0,79.267,1.0,Hungary
44,56.0,80.196,1.0,Hungary
44,57.0,79.599,1.0,Hungary
44,58.0,79.269,1.0,Hungary
44,59.0,79.182,1.0,Hungary
44,60.0,79.903,1.0,Hungary
44,61.0,78.916,1.0,Hungary
44,62.0,79.432,1.0,Hungary
44,63.0,78.71,1.0,Hungary
44,64.0,78.723,1.0,Hungary
44,65.0,78.611,1.0,Hungary
44,66.0,81.759,1.0,Hungary
44,67.0,99.908,1.0,Hungary
44,68.0,77.497,1.0,Hungary
