driver,lap_number,lap_time,position,race
10,1.0,92.608,10.0,Italy
10,2.0,87.139,10.0,Italy
10,3.0,86.536,10.0,Italy
10,4.0,86.255,10.0,Italy
10,5.0,86.196,10.0,Italy
10,6.0,86.364,10.0,Italy
10,7.0,86.16,10.0,Italy
10,8.0,86.485,10.0,Italy
10,9.0,86.229,10.0,Italy
10,10.0,86.157,10.0,Italy
10,11.0,86.2,10.0,Italy
10,12.0,86.047,10.0,Italy
10,13.0,86.432,10.0,Italy
10,14.0,86.308,10.0,Italy
10,15.0,86.35,10.0,Italy
10,16.0,86.266,10.0,Italy
10,17.0,86.281,10.0,Italy
10,18.0,86.519,10.0,Italy
10,19.0,90.727,11.0,Italy
10,20.0,134.173,15.0,Italy
10,21.0,116.545,14.0,Italy
10,22.0,107.466,9.0,Italy
10,23.0,117.108,3.0,Italy
10,24.0,86.016,3.0,Italy
10,25.0,117.481,3.0,Italy
10,26.0,,3.0,Italy
10,27.0,,3.0,Italy
10,28.0,139.007,1.0,Italy
10,29.0,84.607,1.0,Italy
10,30.0,84.707,1.0,Italy
10,31.0,84.642,1.0,Italy
10,32.0,84.257,1.0,Italy
10,33.0,84.044,1.0,Italy
10,34.0,84.037,1.0,Italy
10,35.0,84.245,1.0,Italy
10,36.0,84.555,1.0,Italy
10,37.0,84.39,1.0,Italy
10,38.0,84.341,1.0,Italy
10,39.0,84.083,1.0,Italy
10,40.0,84.134,1.0,Italy
10,41.0,84.312,1.0,Italy
10,42.0,84.325,1.0,Italy
10,43.0,84.491,1.0,Italy
10,44.0,84.539,1.0,Italy
10,45.0,84.576,1.0,Italy
10,46.0,84.404,1.0,Italy
10,47.0,84.274,1.0,Italy
10,48.0,84.467,1.0,Italy
10,49.0,84.35,1.0,Italy
10,50.0,84.367,1.0,Italy
10,51.0,84.754,1.0,Italy
10,52.0,85.111,1.0,Italy
10,53.0,85.783,1.0,Italy
55,1.0,87.292,2.0,Italy
55,2.0,85.769,2.0,Italy
55,3.0,85.78,2.0,Italy
55,4.0,85.822,2.0,Italy
55,5.0,85.811,2.0,Italy
55,6.0,85.806,2.0,Italy
55,7.0,85.54,2.0,Italy
55,8.0,85.712,2.0,Italy
55,9.0,85.675,2.0,Italy
55,10.0,85.755,2.0,Italy
55,11.0,85.748,2.0,Italy
55,12.0,85.718,2.0,Italy
55,13.0,85.921,2.0,Italy
55,14.0,85.7,2.0,Italy
55,15.0,85.819,2.0,Italy
55,16.0,85.73,2.0,Italy
55,17.0,85.632,2.0,Italy
55,18.0,85.646,2.0,Italy
55,19.0,85.797,2.0,Italy
55,20.0,99.799,2.0,Italy
55,21.0,133.681,1.0,Italy
55,22.0,132.419,2.0,Italy
55,23.0,131.648,8.0,Italy
55,24.0,87.151,6.0,Italy
55,25.0,118.312,6.0,Italy
55,26.0,,6.0,Italy
55,27.0,,6.0,Italy
55,28.0,133.599,6.0,Italy
55,29.0,85.111,4.0,Italy
55,30.0,85.035,3.0,Italy
55,31.0,84.242,3.0,Italy
55,32.0,84.392,3.0,Italy
55,33.0,84.461,3.0,Italy
55,34.0,84.398,2.0,Italy
55,35.0,84.152,2.0,Italy
55,36.0,83.942,2.0,Italy
55,37.0,84.278,2.0,Italy
55,38.0,84.211,2.0,Italy
55,39.0,83.987,2.0,Italy
55,40.0,83.882,2.0,Italy
55,41.0,84.071,2.0,Italy
55,42.0,84.138,2.0,Italy
55,43.0,84.474,2.0,Italy
55,44.0,84.168,2.0,Italy
55,45.0,84.219,2.0,Italy
55,46.0,84.191,2.0,Italy
55,47.0,84.168,2.0,Italy
55,48.0,84.427,2.0,Italy
55,49.0,84.286,2.0,Italy
55,50.0,84.477,2.0,Italy
55,51.0,84.699,2.0,Italy
55,52.0,84.491,2.0,Italy
55,53.0,85.311,2.0,Italy
18,1.0,91.644,8.0,Italy
18,2.0,86.152,7.0,Italy
18,3.0,87.284,8.0,Italy
18,4.0,85.988,8.0,Italy
18,5.0,86.053,8.0,Italy
18,6.0,86.215,8.0,Italy
18,7.0,86.337,8.0,Italy
18,8.0,86.225,8.0,Italy
18,9.0,86.276,8.0,Italy
18,10.0,85.912,8.0,Italy
18,11.0,86.14,8.0,Italy
18,12.0,85.856,8.0,Italy
18,13.0,86.096,8.0,Italy
18,14.0,86.071,8.0,Italy
18,15.0,86.251,8.0,Italy
18,16.0,85.977,8.0,Italy
18,17.0,86.092,8.0,Italy
18,18.0,85.913,8.0,Italy
18,19.0,85.782,8.0,Italy
18,20.0,103.654,8.0,Italy
18,21.0,127.978,8.0,Italy
18,22.0,129.19,3.0,Italy
18,23.0,123.063,2.0,Italy
18,24.0,85.553,2.0,Italy
18,25.0,117.537,2.0,Italy
18,26.0,,2.0,Italy
18,27.0,,2.0,Italy
18,28.0,144.316,5.0,Italy
18,29.0,86.247,5.0,Italy
18,30.0,85.171,4.0,Italy
18,31.0,84.372,4.0,Italy
18,32.0,84.46,4.0,Italy
18,33.0,84.505,4.0,Italy
18,34.0,85.134,4.0,Italy
18,35.0,84.743,3.0,Italy
18,36.0,84.045,3.0,Italy
18,37.0,84.154,3.0,Italy
18,38.0,84.116,3.0,Italy
18,39.0,84.211,3.0,Italy
18,40.0,84.05,3.0,Italy
18,41.0,84.309,3.0,Italy
18,42.0,83.897,3.0,Italy
18,43.0,84.179,3.0,Italy
18,44.0,84.328,3.0,Italy
18,45.0,84.346,3.0,Italy
18,46.0,84.266,3.0,Italy
18,47.0,84.259,3.0,Italy
