driver,lap_number,lap_time,position,race
44,1.0,98.26,3.0,Portugal
44,2.0,85.744,3.0,Portugal
44,3.0,83.816,3.0,Portugal
44,4.0,83.226,3.0,Portugal
44,5.0,82.996,3.0,Portugal
44,6.0,83.942,3.0,Portugal
44,7.0,82.04,2.0,Portugal
44,8.0,81.822,2.0,Portugal
44,9.0,81.792,2.0,Portugal
44,10.0,82.041,2.0,Portugal
44,11.0,81.952,2.0,Portugal
44,12.0,81.94,2.0,Portugal
44,13.0,82.129,2.0,Portugal
44,14.0,81.756,2.0,Portugal
44,15.0,81.421,2.0,Portugal
44,16.0,81.366,2.0,Portugal
44,17.0,81.317,2.0,Portugal
44,18.0,81.813,2.0,Portugal
44,19.0,82.362,2.0,Portugal
44,20.0,81.134,1.0,Portugal
44,21.0,82.019,1.0,Portugal
44,22.0,81.374,1.0,Portugal
44,23.0,81.253,1.0,Portugal
44,24.0,81.023,1.0,Portugal
44,25.0,80.775,1.0,Portugal
44,26.0,81.623,1.0,Portugal
44,27.0,81.916,1.0,Portugal
44,28.0,81.275,1.0,Portugal
44,29.0,80.537,1.0,Portugal
44,30.0,81.149,1.0,Portugal
44,31.0,80.736,1.0,Portugal
44,32.0,80.937,1.0,Portugal
44,33.0,80.757,1.0,Portugal
44,34.0,81.021,1.0,Portugal
44,35.0,80.884,1.0,Portugal
44,36.0,81.528,1.0,Portugal
44,37.0,81.243,1.0,Portugal
44,38.0,80.77,1.0,Portugal
44,39.0,80.746,1.0,Portugal
44,40.0,84.688,1.0,Portugal
44,41.0,106.585,2.0,Portugal
44,42.0,80.891,1.0,Portugal
44,43.0,80.654,1.0,Portugal
44,44.0,80.495,1.0,Portugal
44,45.0,80.467,1.0,Portugal
44,46.0,80.366,1.0,Portugal
44,47.0,79.923,1.0,Portugal
44,48.0,80.176,1.0,Portugal
44,49.0,79.921,1.0,Portugal
44,50.0,80.127,1.0,Portugal
44,51.0,80.916,1.0,Portugal
44,52.0,80.906,1.0,Portugal
44,53.0,80.434,1.0,Portugal
44,54.0,80.116,1.0,Portugal
44,55.0,80.206,1.0,Portugal
44,56.0,79.502,1.0,Portugal
44,57.0,80.523,1.0,Portugal
44,58.0,80.102,1.0,Portugal
44,59.0,79.913,1.0,Portugal
44,60.0,79.484,1.0,Portugal
44,61.0,78.966,1.0,Portugal
44,62.0,79.516,1.0,Portugal
44,63.0,78.75,1.0,Portugal
44,64.0,79.387,1.0,Portugal
44,65.0,80.43,1.0,Portugal
44,66.0,78.949,1.0,Portugal
77,1.0,95.953,1.0,Portugal
77,2.0,87.419,2.0,Portugal
77,3.0,83.705,2.0,Portugal
77,4.0,83.195,2.0,Portugal
77,5.0,83.286,2.0,Portugal
77,6.0,82.189,1.0,Portugal
77,7.0,82.588,1.0,Portugal
77,8.0,81.642,1.0,Portugal
77,9.0,81.771,1.0,Portugal
77,10.0,81.807,1.0,Portugal
77,11.0,82.075,1.0,Portugal
77,12.0,81.889,1.0,Portugal
77,13.0,81.876,1.0,Portugal
77,14.0,81.707,1.0,Portugal
77,15.0,81.814,1.0,Portugal
77,16.0,81.65,1.0,Portugal
77,17.0,81.609,1.0,Portugal
77,18.0,82.312,1.0,Portugal
77,19.0,82.925,1.0,Portugal
77,20.0,82.596,2.0,Portugal
77,21.0,83.144,2.0,Portugal
77,22.0,82.04,2.0,Portugal
77,23.0,81.356,2.0,Portugal
77,24.0,81.29,2.0,Portugal
77,25.0,81.114,2.0,Portugal
77,26.0,82.006,2.0,Portugal
77,27.0,82.76,2.0,Portugal
77,28.0,83.075,2.0,Portugal
77,29.0,81.293,2.0,Portugal
77,30.0,81.052,2.0,Portugal
77,31.0,81.073,2.0,Portugal
77,32.0,81.232,2.0,Portugal
77,33.0,80.96,2.0,Portugal
77,34.0,80.875,2.0,Portugal
77,35.0,81.538,2.0,Portugal
77,36.0,80.699,2.0,Portugal
77,37.0,81.65,2.0,Portugal
77,38.0,81.441,2.0,Portugal
77,39.0,81.406,2.0,Portugal
77,40.0,81.127,2.0,Portugal
77,41.0,84.809,1.0,Portugal
77,42.0,107.899,2.0,Portugal
77,43.0,81.402,2.0,Portugal
77,44.0,81.556,2.0,Portugal
77,45.0,81.635,2.0,Portugal
77,46.0,80.473,2.0,Portugal
77,47.0,79.922,2.0,Portugal
77,48.0,80.034,2.0,Portugal
77,49.0,80.28,2.0,Portugal
77,50.0,80.701,2.0,Portugal
77,51.0,80.918,2.0,Portugal
77,52.0,80.399,2.0,Portugal
77,53.0,80.525,2.0,Portugal
77,54.0,80.422,2.0,Portugal
77,55.0,81.13,2.0,Portugal
77,56.0,80.09,2.0,Portugal
77,57.0,81.032,2.0,Portugal
77,58.0,80.76,2.0,Portugal
77,59.0,80.577,2.0,Portugal
77,60.0,79.506,2.0,Portugal
77,61.0,80.78,2.0,Portugal
77,62.0,80.886,2.0,Portugal
77,63.0,80.723,2.0,Portugal
77,64.0,80.969,2.0,Portugal
77,65.0,80.508,2.0,Portugal
77,66.0,79.345,2.0,Portugal
33,1.0,98.693,5.0,Portugal
33,2.0,87.259,5.0,Portugal
33,3.0,83.972,5.0,Portugal
33,4.0,83.675,5.0,Portugal
33,5.0,81.965,4.0,Portugal
33,6.0,82.98,4.0,Portugal
33,7.0,84.232,4.0,Portugal
33,8.0,81.891,3.0,Portugal
33,9.0,82.145,3.0,Portugal
33,10.0,82.38,3.0,Portugal
33,11.0,82.957,3.0,Portugal
33,12.0,82.95,3.0,Portugal
33,13.0,82.853,3.0,Portugal
33,14.0,82.626,3.0,Portugal
33,15.0,82.559,3.0,Portugal
33,16.0,82.592,3.0,Portugal
33,17.0,82.565,3.0,Portugal
33,18.0,82.573,3.0,Portugal
33,19.0,82.479,3.0,Portugal
33,20.0,82.289,3.0,Portugal
33,21.0,82.772,3.0,Portugal
33,22.0,82.522,3.0,Portugal
33,23.0,85.538,4.0,Portugal
33,24.0,105.057,6.0,Portugal
33,25.0,81.87,6.0,Portugal
33,26.0,82.177,5.0,Portugal
33,27.0,82.09,5.0,Portugal
33,28.0,81.136,5.0,Portugal
33,29.0,81.532,4.0,Portugal
33,30.0,81.55,4.0,Portugal
33,31.0,81.442,4.0,Portugal
33,32.0,81.557,4.0,Portugal
33,33.0,81.085,4.0,Portugal
33,34.0,81.47,4.0,Portugal
33,35.0,81.131,3.0,Portugal
33,36.0,81.124,3.0,Portugal
33,37.0,81.646,3.0,Portugal
33,38.0,81.169,3.0,Portugal
33,39.0,81.384,3.0,Portugal
33,40.0,80.981,3.0,Portugal
33,41.0,81.572,3.0,Portugal
33,42.0,80.869,3.0,Portugal
33,43.0,80.871,3.0,Portugal
33,44.0,80.571,3.0,Portugal
33,45.0,80.895,3.0,Portugal
33,46.0,80.513,3.0,Portugal
33,47.0,80.571,3.0,Portugal
33,48.0,80.763,3.0,Portugal
33,49.0,80.913,3.0,Portugal
33,50.0,80.143,3.0,Portugal
33,51.0,81.041,3.0,Portugal
33,52.0,80.743,3.0,Portugal
33,53.0,80.744,3.0,Portugal
33,54.0,81.19,3.0,Portugal
33,55.0,80.949,3.0,Portugal
33,56.0,80.388,3.0,Portugal
33,57.0,80.672,3.0,Portugal
33,58.0,80.551,3.0,Portugal
33,59.0,80.603,3.0,Portugal
33,60.0,80.192,3.0,Portugal
33,61.0,80.415,3.0,Portugal
33,62.0,79.854,3.0,Portugal
33,63.0,80.073,3.0,Portugal
33,64.0,80.78,3.0,Portugal
33,65.0,80.148,3.0,Portugal
33,66.0,80.444,3.0,Portugal
16,1.0,98.712,6.0,Portugal
16,2.0,90.265,8.0,Portugal
16,3.0,84.677,8.0,Portugal
