driver,lap_number,lap_time,position,race
77,1.0,128.585,4.0,Russia
77,2.0,,2.0,Russia
77,3.0,,2.0,Russia
77,4.0,,2.0,Russia
77,5.0,,2.0,Russia
77,6.0,100.702,2.0,Russia
77,7.0,101.48,2.0,Russia
77,8.0,101.179,2.0,Russia
77,9.0,101.341,2.0,Russia
77,10.0,101.431,2.0,Russia
77,11.0,101.237,2.0,Russia
77,12.0,101.233,2.0,Russia
77,13.0,101.044,2.0,Russia
77,14.0,100.307,2.0,Russia
77,15.0,100.059,2.0,Russia
77,16.0,99.727,1.0,Russia
77,17.0,99.439,1.0,Russia
77,18.0,99.375,1.0,Russia
77,19.0,99.569,1.0,Russia
77,20.0,99.221,1.0,Russia
77,21.0,99.081,1.0,Russia
77,22.0,99.667,1.0,Russia
77,23.0,99.403,1.0,Russia
77,24.0,99.168,1.0,Russia
77,25.0,99.52,1.0,Russia
77,26.0,104.581,1.0,Russia
77,27.0,120.33,1.0,Russia
77,28.0,97.861,1.0,Russia
77,29.0,98.606,1.0,Russia
77,30.0,98.264,1.0,Russia
77,31.0,98.611,1.0,Russia
77,32.0,98.669,1.0,Russia
77,33.0,98.88,1.0,Russia
77,34.0,98.404,1.0,Russia
77,35.0,97.807,1.0,Russia
77,36.0,99.019,1.0,Russia
77,37.0,99.506,1.0,Russia
77,38.0,99.527,1.0,Russia
77,39.0,98.755,1.0,Russia
77,40.0,98.63,1.0,Russia
77,41.0,98.521,1.0,Russia
77,42.0,98.669,1.0,Russia
77,43.0,113.109,1.0,Russia
77,44.0,98.617,1.0,Russia
77,45.0,98.77,1.0,Russia
77,46.0,98.641,1.0,Russia
77,47.0,98.818,1.0,Russia
77,48.0,99.006,1.0,Russia
77,49.0,98.977,1.0,Russia
77,50.0,100.312,1.0,Russia
77,51.0,97.03,1.0,Russia
77,52.0,97.724,1.0,Russia
77,53.0,97.637,1.0,Russia
33,1.0,129.668,5.0,Russia
33,2.0,,3.0,Russia
33,3.0,,3.0,Russia
33,4.0,,3.0,Russia
33,5.0,,3.0,Russia
33,6.0,101.375,3.0,Russia
33,7.0,101.52,3.0,Russia
33,8.0,101.262,3.0,Russia
33,9.0,101.085,3.0,Russia
33,10.0,101.289,3.0,Russia
33,11.0,101.418,3.0,Russia
33,12.0,101.437,3.0,Russia
33,13.0,100.881,3.0,Russia
33,14.0,100.897,3.0,Russia
33,15.0,100.646,3.0,Russia
33,16.0,100.299,3.0,Russia
33,17.0,100.252,2.0,Russia
33,18.0,100.07,2.0,Russia
33,19.0,99.941,2.0,Russia
33,20.0,100.012,2.0,Russia
33,21.0,99.92,2.0,Russia
33,22.0,100.113,2.0,Russia
33,23.0,100.266,2.0,Russia
33,24.0,100.51,2.0,Russia
33,25.0,105.264,2.0,Russia
33,26.0,120.406,4.0,Russia
33,27.0,99.287,3.0,Russia
33,28.0,99.584,2.0,Russia
33,29.0,99.155,2.0,Russia
33,30.0,98.997,2.0,Russia
33,31.0,98.481,2.0,Russia
33,32.0,98.598,2.0,Russia
33,33.0,98.734,2.0,Russia
33,34.0,98.735,2.0,Russia
33,35.0,98.52,2.0,Russia
33,36.0,98.729,2.0,Russia
33,37.0,98.432,2.0,Russia
33,38.0,98.496,2.0,Russia
33,39.0,98.811,2.0,Russia
33,40.0,99.087,2.0,Russia
33,41.0,98.69,2.0,Russia
33,42.0,99.175,2.0,Russia
33,43.0,111.959,2.0,Russia
