driver,lap_number,lap_time,position,race
11,1.0,100.485,20.0,Sakhir
11,2.0,92.531,18.0,Sakhir
11,3.0,92.331,18.0,Sakhir
11,4.0,89.676,18.0,Sakhir
11,5.0,91.635,18.0,Sakhir
11,6.0,70.061,18.0,Sakhir
11,7.0,59.233,16.0,Sakhir
11,8.0,59.698,14.0,Sakhir
11,9.0,58.746,13.0,Sakhir
11,10.0,58.095,12.0,Sakhir
11,11.0,59.438,11.0,Sakhir
11,12.0,59.026,11.0,Sakhir
11,13.0,58.651,11.0,Sakhir
11,14.0,58.719,11.0,Sakhir
11,15.0,58.878,11.0,Sakhir
11,16.0,58.71,11.0,Sakhir
11,17.0,58.878,11.0,Sakhir
11,18.0,59.089,11.0,Sakhir
11,19.0,59.452,11.0,Sakhir
11,20.0,58.756,10.0,Sakhir
11,21.0,58.861,9.0,Sakhir
11,22.0,58.775,9.0,Sakhir
11,23.0,59.136,9.0,Sakhir
11,24.0,58.642,9.0,Sakhir
11,25.0,58.604,9.0,Sakhir
11,26.0,58.338,9.0,Sakhir
11,27.0,58.601,9.0,Sakhir
11,28.0,58.558,8.0,Sakhir
11,29.0,58.617,6.0,Sakhir
11,30.0,58.71,5.0,Sakhir
11,31.0,58.545,5.0,Sakhir
11,32.0,58.624,5.0,Sakhir
11,33.0,59.02,5.0,Sakhir
11,34.0,58.698,5.0,Sakhir
11,35.0,58.788,5.0,Sakhir
11,36.0,58.621,5.0,Sakhir
11,37.0,58.796,5.0,Sakhir
11,38.0,58.71,5.0,Sakhir
11,39.0,58.664,5.0,Sakhir
11,40.0,58.6,5.0,Sakhir
11,41.0,58.73,4.0,Sakhir
11,42.0,58.478,4.0,Sakhir
11,43.0,58.125,3.0,Sakhir
11,44.0,58.526,3.0,Sakhir
11,45.0,58.214,3.0,Sakhir
11,46.0,58.305,3.0,Sakhir
11,47.0,60.918,3.0,Sakhir
11,48.0,77.539,9.0,Sakhir
11,49.0,57.205,9.0,Sakhir
11,50.0,56.937,9.0,Sakhir
11,51.0,57.052,9.0,Sakhir
11,52.0,56.925,8.0,Sakhir
11,53.0,56.949,8.0,Sakhir
11,54.0,57.426,7.0,Sakhir
11,55.0,71.049,7.0,Sakhir
11,56.0,56.922,4.0,Sakhir
11,57.0,57.073,3.0,Sakhir
11,58.0,57.319,3.0,Sakhir
11,59.0,56.973,3.0,Sakhir
11,60.0,57.211,3.0,Sakhir
11,61.0,68.533,3.0,Sakhir
11,62.0,76.056,3.0,Sakhir
