driver,lap_number,lap_time,position,race
44,1.0,85.855,1.0,Spain
44,2.0,84.63,1.0,Spain
44,3.0,85.037,1.0,Spain
44,4.0,84.679,1.0,Spain
44,5.0,84.37,1.0,Spain
44,6.0,84.247,1.0,Spain
44,7.0,84.278,1.0,Spain
44,8.0,84.108,1.0,Spain
44,9.0,84.526,1.0,Spain
44,10.0,83.618,1.0,Spain
44,11.0,83.238,1.0,Spain
44,12.0,83.067,1.0,Spain
44,13.0,82.767,1.0,Spain
44,14.0,83.197,1.0,Spain
44,15.0,83.095,1.0,Spain
44,16.0,83.216,1.0,Spain
44,17.0,83.366,1.0,Spain
44,18.0,83.406,1.0,Spain
44,19.0,83.505,1.0,Spain
44,20.0,83.394,1.0,Spain
44,21.0,83.41,1.0,Spain
44,22.0,83.699,1.0,Spain
44,23.0,87.175,1.0,Spain
44,24.0,104.038,1.0,Spain
44,25.0,83.845,1.0,Spain
44,26.0,83.659,1.0,Spain
44,27.0,83.67,1.0,Spain
44,28.0,83.275,1.0,Spain
44,29.0,83.688,1.0,Spain
44,30.0,83.343,1.0,Spain
44,31.0,83.007,1.0,Spain
44,32.0,83.102,1.0,Spain
44,33.0,83.002,1.0,Spain
44,34.0,82.658,1.0,Spain
44,35.0,82.948,1.0,Spain
44,36.0,82.44,1.0,Spain
44,37.0,82.826,1.0,Spain
44,38.0,82.502,1.0,Spain
44,39.0,82.273,1.0,Spain
44,40.0,82.213,1.0,Spain
44,41.0,82.438,1.0,Spain
44,42.0,82.305,1.0,Spain
44,43.0,82.129,1.0,Spain
44,44.0,82.141,1.0,Spain
44,45.0,81.539,1.0,Spain
44,46.0,82.064,1.0,Spain
44,47.0,82.149,1.0,Spain
44,48.0,83.063,1.0,Spain
44,49.0,81.954,1.0,Spain
44,50.0,84.99,1.0,Spain
44,51.0,100.359,1.0,Spain
44,52.0,80.274,1.0,Spain
44,53.0,80.892,1.0,Spain
44,54.0,80.901,1.0,Spain
44,55.0,81.22,1.0,Spain
44,56.0,81.446,1.0,Spain
44,57.0,81.498,1.0,Spain
44,58.0,81.379,1.0,Spain
44,59.0,80.964,1.0,Spain
44,60.0,81.223,1.0,Spain
44,61.0,81.397,1.0,Spain
44,62.0,80.975,1.0,Spain
44,63.0,79.822,1.0,Spain
44,64.0,80.872,1.0,Spain
44,65.0,80.847,1.0,Spain
44,66.0,82.066,1.0,Spain
33,1.0,87.347,2.0,Spain
33,2.0,84.754,2.0,Spain
33,3.0,84.835,2.0,Spain
33,4.0,84.596,2.0,Spain
33,5.0,84.621,2.0,Spain
33,6.0,84.325,2.0,Spain
33,7.0,84.193,2.0,Spain
33,8.0,84.192,2.0,Spain
33,9.0,84.132,2.0,Spain
33,10.0,83.99,2.0,Spain
33,11.0,83.623,2.0,Spain
33,12.0,83.541,2.0,Spain
33,13.0,83.473,2.0,Spain
33,14.0,83.422,2.0,Spain
33,15.0,83.759,2.0,Spain
33,16.0,83.568,2.0,Spain
33,17.0,83.761,2.0,Spain
33,18.0,84.089,2.0,Spain
33,19.0,83.971,2.0,Spain
33,20.0,84.579,2.0,Spain
33,21.0,88.176,3.0,Spain
33,22.0,100.705,3.0,Spain
33,23.0,82.959,3.0,Spain
33,24.0,83.582,2.0,Spain
33,25.0,83.624,2.0,Spain
33,26.0,83.644,2.0,Spain
33,27.0,83.227,2.0,Spain
33,28.0,83.491,2.0,Spain
33,29.0,83.367,2.0,Spain
33,30.0,83.353,2.0,Spain
33,31.0,83.201,2.0,Spain
33,32.0,83.269,2.0,Spain
33,33.0,83.106,2.0,Spain
33,34.0,83.113,2.0,Spain
33,35.0,82.896,2.0,Spain
33,36.0,83.548,2.0,Spain
33,37.0,83.478,2.0,Spain
33,38.0,84.038,2.0,Spain
33,39.0,83.775,2.0,Spain
33,40.0,83.096,2.0,Spain
33,41.0,86.019,3.0,Spain
33,42.0,99.927,3.0,Spain
33,43.0,82.221,3.0,Spain
33,44.0,81.919,3.0,Spain
33,45.0,83.114,3.0,Spain
33,46.0,82.1,3.0,Spain
33,47.0,82.609,3.0,Spain
33,48.0,81.851,3.0,Spain
33,49.0,81.732,2.0,Spain
33,50.0,81.911,2.0,Spain
33,51.0,82.406,2.0,Spain
33,52.0,81.562,2.0,Spain
33,53.0,81.477,2.0,Spain
33,54.0,81.485,2.0,Spain
33,55.0,81.852,2.0,Spain
33,56.0,81.638,2.0,Spain
33,57.0,82.045,2.0,Spain
33,58.0,81.779,2.0,Spain
33,59.0,81.57,2.0,Spain
33,60.0,82.184,2.0,Spain
33,61.0,81.904,2.0,Spain
33,62.0,81.486,2.0,Spain
33,63.0,81.709,2.0,Spain
33,64.0,82.144,2.0,Spain
33,65.0,82.764,2.0,Spain
33,66.0,83.629,2.0,Spain
77,1.0,89.434,4.0,Spain
77,2.0,85.062,4.0,Spain
77,3.0,84.948,4.0,Spain
77,4.0,85.258,4.0,Spain
77,5.0,83.796,3.0,Spain
77,6.0,84.187,3.0,Spain
77,7.0,83.981,3.0,Spain
77,8.0,84.266,3.0,Spain
77,9.0,84.191,3.0,Spain
77,10.0,84.035,3.0,Spain
77,11.0,83.59,3.0,Spain
77,12.0,83.449,3.0,Spain
77,13.0,83.727,3.0,Spain
77,14.0,83.655,3.0,Spain
77,15.0,83.69,3.0,Spain
77,16.0,83.7,3.0,Spain
77,17.0,83.907,3.0,Spain
77,18.0,84.026,3.0,Spain
77,19.0,83.726,3.0,Spain
77,20.0,84.063,3.0,Spain
77,21.0,84.474,2.0,Spain
77,22.0,84.337,2.0,Spain
77,23.0,88.17,2.0,Spain
77,24.0,100.605,3.0,Spain
77,25.0,82.021,3.0,Spain
77,26.0,82.991,3.0,Spain
77,27.0,83.253,3.0,Spain
77,28.0,83.31,3.0,Spain
77,29.0,83.304,3.0,Spain
77,30.0,83.591,3.0,Spain
77,31.0,83.615,3.0,Spain
77,32.0,83.425,3.0,Spain
77,33.0,83.43,3.0,Spain
77,34.0,82.8,3.0,Spain
77,35.0,82.781,3.0,Spain
77,36.0,83.44,3.0,Spain
77,37.0,83.866,3.0,Spain
77,38.0,83.524,3.0,Spain
77,39.0,83.136,3.0,Spain
77,40.0,83.265,3.0,Spain
77,41.0,83.334,2.0,Spain
77,42.0,81.857,2.0,Spain
77,43.0,82.532,2.0,Spain
77,44.0,82.526,2.0,Spain
77,45.0,83.206,2.0,Spain
77,46.0,82.821,2.0,Spain
77,47.0,83.068,2.0,Spain
77,48.0,86.658,2.0,Spain
77,49.0,101.004,3.0,Spain
77,50.0,81.897,3.0,Spain
77,51.0,81.885,3.0,Spain
77,52.0,81.616,3.0,Spain
77,53.0,81.698,3.0,Spain
77,54.0,81.765,3.0,Spain
77,55.0,81.541,3.0,Spain
77,56.0,81.666,3.0,Spain
77,57.0,81.698,3.0,Spain
77,58.0,81.713,3.0,Spain
77,59.0,81.754,3.0,Spain
77,60.0,81.821,3.0,Spain
77,61.0,81.934,3.0,Spain
77,62.0,82.383,3.0,Spain
77,63.0,79.75,3.0,Spain
77,64.0,85.147,3.0,Spain
77,65.0,100.545,3.0,Spain
77,66.0,78.183,3.0,Spain
18,1.0,88.83,3.0,Spain
18,2.0,85.189,3.0,Spain
18,3.0,84.823,3.0,Spain
18,4.0,85.41,3.0,Spain
18,5.0,86.029,4.0,Spain
18,6.0,84.85,4.0,Spain
18,7.0,84.979,4.0,Spain
18,8.0,84.623,4.0,Spain
18,9.0,84.819,4.0,Spain
18,10.0,84.745,4.0,Spain
18,11.0,84.917,4.0,Spain
18,12.0,84.928,4.0,Spain
18,13.0,85.234,4.0,Spain
18,14.0,85.254,4.0,Spain
18,15.0,85.039,4.0,Spain
18,16.0,84.996,4.0,Spain
18,17.0,85.112,4.0,Spain
18,18.0,85.383,4.0,Spain
18,19.0,85.483,4.0,Spain
18,20.0,85.389,4.0,Spain
18,21.0,85.647,4.0,Spain
18,22.0,86.239,4.0,Spain
18,23.0,85.248,4.0,Spain
18,24.0,86.104,4.0,Spain
18,25.0,85.665,4.0,Spain
18,26.0,86.47,4.0,Spain
18,27.0,90.159,5.0,Spain
18,28.0,103.759,8.0,Spain
18,29.0,84.23,8.0,Spain
18,30.0,84.573,5.0,Spain
18,31.0,84.486,5.0,Spain
