driver,lap_number,lap_time,position,race
44,1.0,110.341,4.0,Tuscany
44,2.0,146.653,2.0,Tuscany
44,3.0,136.551,2.0,Tuscany
44,4.0,134.621,2.0,Tuscany
44,5.0,133.693,2.0,Tuscany
44,6.0,141.511,2.0,Tuscany
44,7.0,123.336,2.0,Tuscany
44,8.0,,3.0,Tuscany
44,9.0,,2.0,Tuscany
44,10.0,83.37,1.0,Tuscany
44,11.0,82.549,1.0,Tuscany
44,12.0,82.376,1.0,Tuscany
44,13.0,83.064,1.0,Tuscany
44,14.0,83.293,1.0,Tuscany
44,15.0,83.231,1.0,Tuscany
44,16.0,82.997,1.0,Tuscany
44,17.0,83.013,1.0,Tuscany
44,18.0,83.683,1.0,Tuscany
44,19.0,82.919,1.0,Tuscany
44,20.0,83.2,1.0,Tuscany
44,21.0,82.818,1.0,Tuscany
44,22.0,83.668,1.0,Tuscany
44,23.0,83.243,1.0,Tuscany
44,24.0,82.994,1.0,Tuscany
44,25.0,83.283,1.0,Tuscany
44,26.0,83.425,1.0,Tuscany
44,27.0,83.316,1.0,Tuscany
44,28.0,83.112,1.0,Tuscany
44,29.0,83.137,1.0,Tuscany
44,30.0,83.074,1.0,Tuscany
44,31.0,82.914,1.0,Tuscany
44,32.0,100.016,1.0,Tuscany
44,33.0,88.882,1.0,Tuscany
44,34.0,82.104,1.0,Tuscany
44,35.0,82.261,1.0,Tuscany
44,36.0,82.453,1.0,Tuscany
44,37.0,82.015,1.0,Tuscany
44,38.0,82.099,1.0,Tuscany
44,39.0,82.305,1.0,Tuscany
44,40.0,82.499,1.0,Tuscany
44,41.0,82.301,1.0,Tuscany
44,42.0,82.354,1.0,Tuscany
44,43.0,81.965,1.0,Tuscany
44,44.0,126.887,1.0,Tuscany
44,45.0,,1.0,Tuscany
44,46.0,,1.0,Tuscany
44,47.0,84.056,1.0,Tuscany
44,48.0,80.072,1.0,Tuscany
44,49.0,80.153,1.0,Tuscany
44,50.0,80.655,1.0,Tuscany
44,51.0,79.647,1.0,Tuscany
44,52.0,81.451,1.0,Tuscany
44,53.0,80.775,1.0,Tuscany
44,54.0,80.655,1.0,Tuscany
44,55.0,80.662,1.0,Tuscany
44,56.0,80.518,1.0,Tuscany
44,57.0,80.146,1.0,Tuscany
44,58.0,78.833,1.0,Tuscany
44,59.0,79.338,1.0,Tuscany
77,1.0,106.834,2.0,Tuscany
77,2.0,148.572,1.0,Tuscany
77,3.0,137.078,1.0,Tuscany
77,4.0,133.468,1.0,Tuscany
77,5.0,134.247,1.0,Tuscany
77,6.0,142.886,1.0,Tuscany
77,7.0,121.252,1.0,Tuscany
77,8.0,,2.0,Tuscany
77,9.0,,1.0,Tuscany
77,10.0,84.937,2.0,Tuscany
77,11.0,82.435,2.0,Tuscany
77,12.0,83.268,2.0,Tuscany
77,13.0,82.798,2.0,Tuscany
77,14.0,83.064,2.0,Tuscany
77,15.0,83.201,2.0,Tuscany
77,16.0,82.896,2.0,Tuscany
77,17.0,83.45,2.0,Tuscany
77,18.0,83.282,2.0,Tuscany
77,19.0,83.136,2.0,Tuscany
77,20.0,83.205,2.0,Tuscany
77,21.0,83.162,2.0,Tuscany
77,22.0,83.331,2.0,Tuscany
77,23.0,83.231,2.0,Tuscany
77,24.0,83.229,2.0,Tuscany
77,25.0,83.172,2.0,Tuscany
77,26.0,83.752,2.0,Tuscany
77,27.0,83.38,2.0,Tuscany
77,28.0,83.535,2.0,Tuscany
77,29.0,84.805,2.0,Tuscany
77,30.0,84.521,2.0,Tuscany
77,31.0,103.26,3.0,Tuscany
77,32.0,87.993,2.0,Tuscany
77,33.0,81.874,2.0,Tuscany
77,34.0,81.799,2.0,Tuscany
77,35.0,81.916,2.0,Tuscany
77,36.0,82.393,2.0,Tuscany
77,37.0,82.076,2.0,Tuscany
77,38.0,82.208,2.0,Tuscany
77,39.0,82.278,2.0,Tuscany
77,40.0,82.448,2.0,Tuscany
77,41.0,82.147,2.0,Tuscany
77,42.0,81.915,2.0,Tuscany
77,43.0,102.623,2.0,Tuscany
77,44.0,112.694,2.0,Tuscany
77,45.0,,2.0,Tuscany
77,46.0,,3.0,Tuscany
77,47.0,84.991,3.0,Tuscany
77,48.0,79.752,2.0,Tuscany
77,49.0,81.001,2.0,Tuscany
77,50.0,80.578,2.0,Tuscany
77,51.0,80.596,2.0,Tuscany
77,52.0,81.213,2.0,Tuscany
77,53.0,79.432,2.0,Tuscany
77,54.0,80.941,2.0,Tuscany
77,55.0,80.757,2.0,Tuscany
77,56.0,80.25,2.0,Tuscany
77,57.0,80.054,2.0,Tuscany
77,58.0,79.561,2.0,Tuscany
77,59.0,82.214,2.0,Tuscany
23,1.0,112.724,6.0,Tuscany
23,2.0,145.96,4.0,Tuscany
23,3.0,136.967,4.0,Tuscany
23,4.0,134.65,4.0,Tuscany
23,5.0,133.442,4.0,Tuscany
23,6.0,139.882,4.0,Tuscany
23,7.0,126.021,4.0,Tuscany
23,8.0,,5.0,Tuscany
23,9.0,,5.0,Tuscany
23,10.0,89.369,7.0,Tuscany
23,11.0,84.054,7.0,Tuscany
23,12.0,84.049,7.0,Tuscany
23,13.0,83.966,7.0,Tuscany
23,14.0,83.793,7.0,Tuscany
23,15.0,83.917,7.0,Tuscany
23,16.0,84.336,7.0,Tuscany
23,17.0,84.072,7.0,Tuscany
23,18.0,83.39,6.0,Tuscany
23,19.0,84.621,6.0,Tuscany
23,20.0,83.206,5.0,Tuscany
23,21.0,83.787,5.0,Tuscany
23,22.0,83.628,5.0,Tuscany
23,23.0,83.899,5.0,Tuscany
23,24.0,83.732,5.0,Tuscany
23,25.0,83.779,5.0,Tuscany
23,26.0,84.076,5.0,Tuscany
23,27.0,83.927,4.0,Tuscany
23,28.0,83.675,4.0,Tuscany
23,29.0,84.459,4.0,Tuscany
23,30.0,84.313,3.0,Tuscany
23,31.0,85.24,2.0,Tuscany
23,32.0,100.967,4.0,Tuscany
23,33.0,88.884,5.0,Tuscany
23,34.0,82.119,5.0,Tuscany
23,35.0,82.684,5.0,Tuscany
23,36.0,82.314,5.0,Tuscany
23,37.0,81.917,5.0,Tuscany
23,38.0,82.562,5.0,Tuscany
23,39.0,81.756,5.0,Tuscany
23,40.0,82.154,5.0,Tuscany
23,41.0,82.242,5.0,Tuscany
23,42.0,82.038,5.0,Tuscany
23,43.0,110.967,4.0,Tuscany
23,44.0,110.321,4.0,Tuscany
23,45.0,,4.0,Tuscany
23,46.0,,4.0,Tuscany
23,47.0,85.553,4.0,Tuscany
23,48.0,80.854,4.0,Tuscany
23,49.0,81.037,4.0,Tuscany
23,50.0,80.464,4.0,Tuscany
23,51.0,80.039,3.0,Tuscany
23,52.0,80.642,3.0,Tuscany
23,53.0,80.83,3.0,Tuscany
23,54.0,80.977,3.0,Tuscany
23,55.0,80.665,3.0,Tuscany
23,56.0,80.83,3.0,Tuscany
23,57.0,80.774,3.0,Tuscany
23,58.0,80.18,3.0,Tuscany
23,59.0,81.273,3.0,Tuscany
3,1.0,116.335,8.0,Tuscany
3,2.0,144.786,6.0,Tuscany
3,3.0,137.351,6.0,Tuscany
3,4.0,135.385,6.0,Tuscany
3,5.0,132.873,6.0,Tuscany
3,6.0,137.585,6.0,Tuscany
3,7.0,127.885,6.0,Tuscany
3,8.0,,7.0,Tuscany
3,9.0,,6.0,Tuscany
3,10.0,88.423,6.0,Tuscany
3,11.0,84.163,6.0,Tuscany
3,12.0,83.778,6.0,Tuscany
3,13.0,84.037,6.0,Tuscany
3,14.0,83.356,6.0,Tuscany
