driver,lap_number,lap_time,position
77,1.0,71.454,1.0
77,2.0,69.441,1.0
77,3.0,69.598,1.0
77,4.0,69.592,1.0
77,5.0,69.159,1.0
77,6.0,69.386,1.0
77,7.0,69.051,1.0
77,8.0,69.185,1.0
77,9.0,69.357,1.0
77,10.0,69.547,4.0
77,11.0,69.3,3.0
77,12.0,69.417,3.0
77,13.0,69.224,3.0
77,14.0,69.049,3.0
77,15.0,69.26,3.0
77,16.0,69.512,3.0
77,17.0,69.699,3.0
77,18.0,69.847,3.0
77,19.0,69.617,3.0
77,20.0,70.405,3.0
77,21.0,70.149,3.0
77,22.0,84.118,3.0
77,23.0,122.933,3.0
77,24.0,110.849,3.0
77,25.0,115.283,3.0
77,26.0,113.743,3.0
77,27.0,68.736,3.0
77,28.0,68.733,3.0
77,29.0,68.52,3.0
77,30.0,68.524,3.0
77,31.0,68.433,3.0
77,32.0,68.26,3.0
77,33.0,68.194,3.0
77,34.0,68.235,3.0
77,35.0,68.303,3.0
77,36.0,68.131,3.0
77,37.0,68.142,3.0
77,38.0,68.272,3.0
77,39.0,68.472,3.0
77,40.0,68.322,3.0
77,41.0,68.231,3.0
77,42.0,68.462,3.0
77,43.0,68.421,3.0
77,44.0,68.279,3.0
77,45.0,68.422,2.0
77,46.0,68.351,2.0
77,47.0,75.384,2.0
77,48.0,115.395,2.0
77,49.0,120.1,2.0
77,50.0,100.093,2.0
77,51.0,96.079,2.0
77,52.0,114.808,2.0
77,53.0,117.837,2.0
77,54.0,109.815,2.0
77,55.0,102.625,2.0
77,56.0,98.546,2.0
77,57.0,68.204,2.0
77,58.0,68.378,2.0
77,59.0,68.062,2.0
77,60.0,68.174,2.0
77,61.0,68.238,2.0
77,62.0,68.199,2.0
77,63.0,68.023,2.0
77,64.0,67.657,2.0
77,65.0,70.046,2.0
77,66.0,68.2,2.0
77,67.0,68.412,1.0
77,68.0,,
16,1.0,76.847,7.0
16,2.0,71.418,7.0
16,3.0,69.925,7.0
16,4.0,70.271,7.0
16,5.0,70.31,7.0
16,6.0,70.287,7.0
16,7.0,70.596,7.0
16,8.0,70.611,7.0
16,9.0,70.333,9.0
16,10.0,70.308,9.0
16,11.0,70.278,8.0
16,12.0,70.138,8.0
16,13.0,70.177,8.0
16,14.0,70.072,8.0
16,15.0,69.954,8.0
16,16.0,70.181,8.0
16,17.0,70.245,8.0
16,18.0,70.392,8.0
16,19.0,70.117,8.0
16,20.0,70.199,8.0
16,21.0,89.806,8.0
16,22.0,110.117,8.0
16,23.0,101.051,8.0
16,24.0,114.953,8.0
16,25.0,107.566,8.0
16,26.0,70.877,8.0
16,27.0,70.125,8.0
16,28.0,69.596,8.0
16,29.0,69.538,8.0
16,30.0,69.245,8.0
16,31.0,69.479,8.0
16,32.0,69.263,8.0
16,33.0,68.973,8.0
16,34.0,69.184,8.0
16,35.0,69.112,8.0
16,36.0,69.126,8.0
16,37.0,69.12,8.0
16,38.0,69.103,8.0
16,39.0,69.218,8.0
16,40.0,69.581,8.0
16,41.0,69.129,8.0
16,42.0,69.031,8.0
16,43.0,68.781,8.0
16,44.0,69.153,8.0
16,45.0,69.085,7.0
16,46.0,84.7,7.0
16,47.0,107.833,8.0
16,48.0,104.214,7.0
16,49.0,94.516,7.0
16,50.0,101.27,7.0
16,51.0,114.511,7.0
16,52.0,115.821,7.0
16,53.0,110.846,7.0
