driver,lap_number,lap_time,position,race,aggressiveness,defensive_ability,stamina,total_overtakes,championships,employees,engine_manufacturer,Age,weather
Valtteri Bottas,1.0,71.454,1.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,2.0,69.441,1.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,3.0,69.598,1.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,4.0,69.592,1.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,5.0,69.159,1.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,6.0,69.386,1.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,7.0,69.051,1.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,8.0,69.185,1.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,9.0,69.357,1.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,10.0,69.547,4.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,11.0,69.3,3.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,12.0,69.417,3.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,13.0,69.224,3.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,14.0,69.049,3.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,15.0,69.26,3.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,16.0,69.512,3.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,17.0,69.699,3.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,18.0,69.847,3.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,19.0,69.617,3.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,20.0,70.405,3.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,21.0,70.149,3.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,22.0,84.118,3.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,23.0,122.933,3.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,24.0,110.849,3.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,25.0,115.283,3.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,26.0,113.743,3.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,27.0,68.736,3.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,28.0,68.733,3.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,29.0,68.52,3.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,30.0,68.524,3.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,31.0,68.433,3.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,32.0,68.26,3.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,33.0,68.194,3.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,34.0,68.235,3.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,35.0,68.303,3.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,36.0,68.131,3.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,37.0,68.142,3.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,38.0,68.272,3.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,39.0,68.472,3.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,40.0,68.322,3.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,41.0,68.231,3.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,42.0,68.462,3.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,43.0,68.421,3.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,44.0,68.279,3.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,45.0,68.422,2.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,46.0,68.351,2.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,47.0,75.384,2.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,48.0,115.395,2.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,49.0,120.1,2.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,50.0,100.093,2.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,51.0,96.079,2.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,52.0,114.808,2.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,53.0,117.837,2.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,54.0,109.815,2.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,55.0,102.625,2.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,56.0,98.546,2.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,57.0,68.204,2.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,58.0,68.378,2.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,59.0,68.062,2.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,60.0,68.174,2.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,61.0,68.238,2.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,62.0,68.199,2.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,63.0,68.023,2.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,64.0,67.657,2.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,65.0,70.046,2.0,Austria,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
