driver,lap_number,lap_time,position,race,aggressiveness,defensive_ability,stamina,total_overtakes,championships,employees,engine_manufacturer,Age,weather
Lewis Hamilton,1.0,95.67,1.0,Hungary,0.92,0.84,0.92,1.0,8,1200,1,35.0,Partily cloudy
Lewis Hamilton,2.0,91.458,1.0,Hungary,0.92,0.84,0.92,1.0,8,1200,1,35.0,Partily cloudy
Lewis Hamilton,3.0,94.916,1.0,Hungary,0.92,0.84,0.92,1.0,8,1200,1,35.0,Partily cloudy
Lewis Hamilton,4.0,113.821,3.0,Hungary,0.92,0.84,0.92,1.0,8,1200,1,35.0,Partily cloudy
Lewis Hamilton,5.0,85.898,1.0,Hungary,0.92,0.84,0.92,1.0,8,1200,1,35.0,Partily cloudy
Lewis Hamilton,6.0,83.991,1.0,Hungary,0.92,0.84,0.92,1.0,8,1200,1,35.0,Partily cloudy
Lewis Hamilton,7.0,83.327,1.0,Hungary,0.92,0.84,0.92,1.0,8,1200,1,35.0,Partily cloudy
Lewis Hamilton,8.0,82.17,1.0,Hungary,0.92,0.84,0.92,1.0,8,1200,1,35.0,Partily cloudy
Lewis Hamilton,9.0,82.13,1.0,Hungary,0.92,0.84,0.92,1.0,8,1200,1,35.0,Partily cloudy
Lewis Hamilton,10.0,81.522,1.0,Hungary,0.92,0.84,0.92,1.0,8,1200,1,35.0,Partily cloudy
Lewis Hamilton,11.0,82.127,1.0,Hungary,0.92,0.84,0.92,1.0,8,1200,1,35.0,Partily cloudy
Lewis Hamilton,12.0,81.886,1.0,Hungary,0.92,0.84,0.92,1.0,8,1200,1,35.0,Partily cloudy
Lewis Hamilton,13.0,81.873,1.0,Hungary,0.92,0.84,0.92,1.0,8,1200,1,35.0,Partily cloudy
Lewis Hamilton,14.0,81.72,1.0,Hungary,0.92,0.84,0.92,1.0,8,1200,1,35.0,Partily cloudy
Lewis Hamilton,15.0,81.62,1.0,Hungary,0.92,0.84,0.92,1.0,8,1200,1,35.0,Partily cloudy
Lewis Hamilton,16.0,81.436,1.0,Hungary,0.92,0.84,0.92,1.0,8,1200,1,35.0,Partily cloudy
Lewis Hamilton,17.0,81.855,1.0,Hungary,0.92,0.84,0.92,1.0,8,1200,1,35.0,Partily cloudy
Lewis Hamilton,18.0,81.363,1.0,Hungary,0.92,0.84,0.92,1.0,8,1200,1,35.0,Partily cloudy
Lewis Hamilton,19.0,82.397,1.0,Hungary,0.92,0.84,0.92,1.0,8,1200,1,35.0,Partily cloudy
Lewis Hamilton,20.0,81.887,1.0,Hungary,0.92,0.84,0.92,1.0,8,1200,1,35.0,Partily cloudy
Lewis Hamilton,21.0,81.807,1.0,Hungary,0.92,0.84,0.92,1.0,8,1200,1,35.0,Partily cloudy
Lewis Hamilton,22.0,81.727,1.0,Hungary,0.92,0.84,0.92,1.0,8,1200,1,35.0,Partily cloudy
Lewis Hamilton,23.0,81.687,1.0,Hungary,0.92,0.84,0.92,1.0,8,1200,1,35.0,Partily cloudy
Lewis Hamilton,24.0,81.341,1.0,Hungary,0.92,0.84,0.92,1.0,8,1200,1,35.0,Partily cloudy
Lewis Hamilton,25.0,81.95,1.0,Hungary,0.92,0.84,0.92,1.0,8,1200,1,35.0,Partily cloudy
Lewis Hamilton,26.0,81.39,1.0,Hungary,0.92,0.84,0.92,1.0,8,1200,1,35.0,Partily cloudy
Lewis Hamilton,27.0,81.741,1.0,Hungary,0.92,0.84,0.92,1.0,8,1200,1,35.0,Partily cloudy
Lewis Hamilton,28.0,81.532,1.0,Hungary,0.92,0.84,0.92,1.0,8,1200,1,35.0,Partily cloudy
Lewis Hamilton,29.0,81.265,1.0,Hungary,0.92,0.84,0.92,1.0,8,1200,1,35.0,Partily cloudy
