driver,lap_number,lap_time,position,race,aggressiveness,defensive_ability,stamina,total_overtakes,weather
Lewis Hamilton,1.0,94.01,1.0,Great Britain,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,2.0,126.445,1.0,Great Britain,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,5.0,138.933,1.0,Great Britain,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,6.0,90.533,1.0,Great Britain,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,7.0,91.143,1.0,Great Britain,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,8.0,90.943,1.0,Great Britain,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,9.0,90.868,1.0,Great Britain,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,10.0,90.838,1.0,Great Britain,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,11.0,90.903,1.0,Great Britain,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,12.0,90.705,1.0,Great Britain,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,13.0,125.834,1.0,Great Britain,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,18.0,142.988,1.0,Great Britain,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,19.0,90.534,1.0,Great Britain,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,20.0,90.371,1.0,Great Britain,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,21.0,90.188,1.0,Great Britain,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,22.0,90.324,1.0,Great Britain,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,23.0,89.812,1.0,Great Britain,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,24.0,90.127,1.0,Great Britain,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,25.0,89.944,1.0,Great Britain,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,26.0,90.162,1.0,Great Britain,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,27.0,90.312,1.0,Great Britain,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,28.0,90.266,1.0,Great Britain,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,29.0,90.079,1.0,Great Britain,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,30.0,89.712,1.0,Great Britain,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,31.0,89.66,1.0,Great Britain,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,32.0,89.995,1.0,Great Britain,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,33.0,89.326,1.0,Great Britain,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,34.0,89.321,1.0,Great Britain,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,35.0,89.693,1.0,Great Britain,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,36.0,89.688,1.0,Great Britain,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,37.0,89.663,1.0,Great Britain,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,38.0,89.553,1.0,Great Britain,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,39.0,89.762,1.0,Great Britain,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,40.0,89.282,1.0,Great Britain,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,41.0,89.254,1.0,Great Britain,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,42.0,89.269,1.0,Great Britain,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,43.0,89.525,1.0,Great Britain,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,44.0,89.364,1.0,Great Britain,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,45.0,89.238,1.0,Great Britain,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,46.0,89.432,1.0,Great Britain,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,47.0,89.455,1.0,Great Britain,0.92,0.84,0.92,0.0,Partly cloudy
