driver,lap_number,lap_time,position,race,aggressiveness,defensive_ability,stamina,total_overtakes,weather
Lewis Hamilton,1.0,110.341,4.0,Tuscany,0.92,0.84,0.92,0.0,Sunny
Lewis Hamilton,2.0,146.653,2.0,Tuscany,0.92,0.84,0.92,0.0,Sunny
Lewis Hamilton,3.0,136.551,2.0,Tuscany,0.92,0.84,0.92,0.0,Sunny
Lewis Hamilton,4.0,134.621,2.0,Tuscany,0.92,0.84,0.92,0.0,Sunny
Lewis Hamilton,5.0,133.693,2.0,Tuscany,0.92,0.84,0.92,0.0,Sunny
Lewis Hamilton,6.0,141.511,2.0,Tuscany,0.92,0.84,0.92,0.0,Sunny
Lewis Hamilton,7.0,123.336,2.0,Tuscany,0.92,0.84,0.92,0.0,Sunny
Lewis Hamilton,10.0,83.37,1.0,Tuscany,0.92,0.84,0.92,0.0,Sunny
Lewis Hamilton,11.0,82.549,1.0,Tuscany,0.92,0.84,0.92,0.0,Sunny
Lewis Hamilton,12.0,82.376,1.0,Tuscany,0.92,0.84,0.92,0.0,Sunny
Lewis Hamilton,13.0,83.064,1.0,Tuscany,0.92,0.84,0.92,0.0,Sunny
Lewis Hamilton,14.0,83.293,1.0,Tuscany,0.92,0.84,0.92,0.0,Sunny
Lewis Hamilton,15.0,83.231,1.0,Tuscany,0.92,0.84,0.92,0.0,Sunny
Lewis Hamilton,16.0,82.997,1.0,Tuscany,0.92,0.84,0.92,0.0,Sunny
Lewis Hamilton,17.0,83.013,1.0,Tuscany,0.92,0.84,0.92,0.0,Sunny
Lewis Hamilton,18.0,83.683,1.0,Tuscany,0.92,0.84,0.92,0.0,Sunny
Lewis Hamilton,19.0,82.919,1.0,Tuscany,0.92,0.84,0.92,0.0,Sunny
Lewis Hamilton,20.0,83.2,1.0,Tuscany,0.92,0.84,0.92,0.0,Sunny
Lewis Hamilton,21.0,82.818,1.0,Tuscany,0.92,0.84,0.92,0.0,Sunny
Lewis Hamilton,22.0,83.668,1.0,Tuscany,0.92,0.84,0.92,0.0,Sunny
Lewis Hamilton,23.0,83.243,1.0,Tuscany,0.92,0.84,0.92,0.0,Sunny
Lewis Hamilton,24.0,82.994,1.0,Tuscany,0.92,0.84,0.92,0.0,Sunny
Lewis Hamilton,25.0,83.283,1.0,Tuscany,0.92,0.84,0.92,0.0,Sunny
Lewis Hamilton,26.0,83.425,1.0,Tuscany,0.92,0.84,0.92,0.0,Sunny
Lewis Hamilton,27.0,83.316,1.0,Tuscany,0.92,0.84,0.92,0.0,Sunny
Lewis Hamilton,28.0,83.112,1.0,Tuscany,0.92,0.84,0.92,0.0,Sunny
Lewis Hamilton,29.0,83.137,1.0,Tuscany,0.92,0.84,0.92,0.0,Sunny
Lewis Hamilton,30.0,83.074,1.0,Tuscany,0.92,0.84,0.92,0.0,Sunny
Lewis Hamilton,31.0,82.914,1.0,Tuscany,0.92,0.84,0.92,0.0,Sunny
Lewis Hamilton,32.0,100.016,1.0,Tuscany,0.92,0.84,0.92,0.0,Sunny
Lewis Hamilton,33.0,88.882,1.0,Tuscany,0.92,0.84,0.92,0.0,Sunny
Lewis Hamilton,34.0,82.104,1.0,Tuscany,0.92,0.84,0.92,0.0,Sunny
Lewis Hamilton,35.0,82.261,1.0,Tuscany,0.92,0.84,0.92,0.0,Sunny
Lewis Hamilton,36.0,82.453,1.0,Tuscany,0.92,0.84,0.92,0.0,Sunny
Lewis Hamilton,37.0,82.015,1.0,Tuscany,0.92,0.84,0.92,0.0,Sunny
Lewis Hamilton,38.0,82.099,1.0,Tuscany,0.92,0.84,0.92,0.0,Sunny
Lewis Hamilton,39.0,82.305,1.0,Tuscany,0.92,0.84,0.92,0.0,Sunny
Lewis Hamilton,40.0,82.499,1.0,Tuscany,0.92,0.84,0.92,0.0,Sunny
Lewis Hamilton,41.0,82.301,1.0,Tuscany,0.92,0.84,0.92,0.0,Sunny
Lewis Hamilton,42.0,82.354,1.0,Tuscany,0.92,0.84,0.92,0.0,Sunny
Lewis Hamilton,43.0,81.965,1.0,Tuscany,0.92,0.84,0.92,0.0,Sunny
Lewis Hamilton,44.0,126.887,1.0,Tuscany,0.92,0.84,0.92,0.0,Sunny
Lewis Hamilton,47.0,84.056,1.0,Tuscany,0.92,0.84,0.92,0.0,Sunny
Lewis Hamilton,48.0,80.072,1.0,Tuscany,0.92,0.84,0.92,0.0,Sunny
Lewis Hamilton,49.0,80.153,1.0,Tuscany,0.92,0.84,0.92,0.0,Sunny
Lewis Hamilton,50.0,80.655,1.0,Tuscany,0.92,0.84,0.92,0.0,Sunny
Lewis Hamilton,51.0,79.647,1.0,Tuscany,0.92,0.84,0.92,0.0,Sunny
Lewis Hamilton,52.0,81.451,1.0,Tuscany,0.92,0.84,0.92,0.0,Sunny
Lewis Hamilton,53.0,80.775,1.0,Tuscany,0.92,0.84,0.92,0.0,Sunny
Lewis Hamilton,54.0,80.655,1.0,Tuscany,0.92,0.84,0.92,0.0,Sunny
Lewis Hamilton,55.0,80.662,1.0,Tuscany,0.92,0.84,0.92,0.0,Sunny
Lewis Hamilton,56.0,80.518,1.0,Tuscany,0.92,0.84,0.92,0.0,Sunny
Lewis Hamilton,57.0,80.146,1.0,Tuscany,0.92,0.84,0.92,0.0,Sunny
Lewis Hamilton,58.0,78.833,1.0,Tuscany,0.92,0.84,0.92,0.0,Sunny
Lewis Hamilton,59.0,79.338,1.0,Tuscany,0.92,0.84,0.92,0.0,Sunny
Valtteri Bottas,1.0,106.834,2.0,Tuscany,0.87,0.99,0.74,0.0,Sunny
Valtteri Bottas,2.0,148.572,1.0,Tuscany,0.87,0.99,0.74,0.0,Sunny
Valtteri Bottas,3.0,137.078,1.0,Tuscany,0.87,0.99,0.74,0.0,Sunny
Valtteri Bottas,4.0,133.468,1.0,Tuscany,0.87,0.99,0.74,0.0,Sunny
Valtteri Bottas,5.0,134.247,1.0,Tuscany,0.87,0.99,0.74,0.0,Sunny
Valtteri Bottas,6.0,142.886,1.0,Tuscany,0.87,0.99,0.74,0.0,Sunny
Valtteri Bottas,7.0,121.252,1.0,Tuscany,0.87,0.99,0.74,0.0,Sunny
Valtteri Bottas,10.0,84.937,2.0,Tuscany,0.87,0.99,0.74,0.0,Sunny
Valtteri Bottas,11.0,82.435,2.0,Tuscany,0.87,0.99,0.74,0.0,Sunny
Valtteri Bottas,12.0,83.268,2.0,Tuscany,0.87,0.99,0.74,0.0,Sunny
Valtteri Bottas,13.0,82.798,2.0,Tuscany,0.87,0.99,0.74,0.0,Sunny
Valtteri Bottas,14.0,83.064,2.0,Tuscany,0.87,0.99,0.74,0.0,Sunny
Valtteri Bottas,15.0,83.201,2.0,Tuscany,0.87,0.99,0.74,0.0,Sunny
Valtteri Bottas,16.0,82.896,2.0,Tuscany,0.87,0.99,0.74,0.0,Sunny
Valtteri Bottas,17.0,83.45,2.0,Tuscany,0.87,0.99,0.74,0.0,Sunny
Valtteri Bottas,18.0,83.282,2.0,Tuscany,0.87,0.99,0.74,0.0,Sunny
Valtteri Bottas,19.0,83.136,2.0,Tuscany,0.87,0.99,0.74,0.0,Sunny
Valtteri Bottas,20.0,83.205,2.0,Tuscany,0.87,0.99,0.74,0.0,Sunny
Valtteri Bottas,21.0,83.162,2.0,Tuscany,0.87,0.99,0.74,0.0,Sunny
