driver,lap_number,lap_time,position,race,aggressiveness,defensive_ability,stamina,total_overtakes,championships,employees,engine_manufacturer,Age,weather
Valtteri Bottas,1.0,128.585,4.0,Russia,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,6.0,100.702,2.0,Russia,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,7.0,101.48,2.0,Russia,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,8.0,101.179,2.0,Russia,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,9.0,101.341,2.0,Russia,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,10.0,101.431,2.0,Russia,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,11.0,101.237,2.0,Russia,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,12.0,101.233,2.0,Russia,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,13.0,101.044,2.0,Russia,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,14.0,100.307,2.0,Russia,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,15.0,100.059,2.0,Russia,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,16.0,99.727,1.0,Russia,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,17.0,99.439,1.0,Russia,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,18.0,99.375,1.0,Russia,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,19.0,99.569,1.0,Russia,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,20.0,99.221,1.0,Russia,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,21.0,99.081,1.0,Russia,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,22.0,99.667,1.0,Russia,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,23.0,99.403,1.0,Russia,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,24.0,99.168,1.0,Russia,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,25.0,99.52,1.0,Russia,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,26.0,104.581,1.0,Russia,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,27.0,120.33,1.0,Russia,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,28.0,97.861,1.0,Russia,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,29.0,98.606,1.0,Russia,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,30.0,98.264,1.0,Russia,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,31.0,98.611,1.0,Russia,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,32.0,98.669,1.0,Russia,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,33.0,98.88,1.0,Russia,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,34.0,98.404,1.0,Russia,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,35.0,97.807,1.0,Russia,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,36.0,99.019,1.0,Russia,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,37.0,99.506,1.0,Russia,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,38.0,99.527,1.0,Russia,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,39.0,98.755,1.0,Russia,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,40.0,98.63,1.0,Russia,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,41.0,98.521,1.0,Russia,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,42.0,98.669,1.0,Russia,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,43.0,113.109,1.0,Russia,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,44.0,98.617,1.0,Russia,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,45.0,98.77,1.0,Russia,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,46.0,98.641,1.0,Russia,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,47.0,98.818,1.0,Russia,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
Valtteri Bottas,48.0,99.006,1.0,Russia,0.87,0.99,0.74,0.0,8,1200,1,30.0,Sunny
