driver,lap_number,lap_time,position,race,aggressiveness,defensive_ability,stamina,total_overtakes,weather
Lewis Hamilton,1.0,95.032,2.0,Eifel,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,2.0,92.41,2.0,Eifel,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,3.0,92.165,2.0,Eifel,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,4.0,92.543,2.0,Eifel,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,5.0,92.153,2.0,Eifel,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,6.0,91.951,2.0,Eifel,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,7.0,92.101,2.0,Eifel,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,8.0,91.622,2.0,Eifel,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,9.0,91.835,2.0,Eifel,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,10.0,91.996,2.0,Eifel,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,11.0,91.853,2.0,Eifel,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,12.0,92.072,2.0,Eifel,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,13.0,91.704,1.0,Eifel,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,14.0,91.781,1.0,Eifel,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,15.0,91.74,1.0,Eifel,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,16.0,103.842,1.0,Eifel,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,17.0,116.488,1.0,Eifel,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,18.0,90.795,1.0,Eifel,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,19.0,90.454,1.0,Eifel,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,20.0,90.566,1.0,Eifel,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,21.0,90.109,1.0,Eifel,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,22.0,90.424,1.0,Eifel,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,23.0,90.358,1.0,Eifel,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,24.0,90.522,1.0,Eifel,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,25.0,90.574,1.0,Eifel,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,26.0,90.51,1.0,Eifel,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,27.0,90.753,1.0,Eifel,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,28.0,91.157,1.0,Eifel,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,29.0,90.98,1.0,Eifel,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,30.0,90.701,1.0,Eifel,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,31.0,91.095,1.0,Eifel,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,32.0,91.55,1.0,Eifel,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,33.0,91.108,1.0,Eifel,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,34.0,90.704,1.0,Eifel,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,35.0,90.701,1.0,Eifel,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,36.0,90.841,1.0,Eifel,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,37.0,91.027,1.0,Eifel,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,38.0,91.023,1.0,Eifel,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,39.0,90.651,1.0,Eifel,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,40.0,90.461,1.0,Eifel,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,41.0,90.704,1.0,Eifel,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,42.0,90.667,1.0,Eifel,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,43.0,90.463,1.0,Eifel,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,44.0,90.448,1.0,Eifel,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,45.0,106.683,1.0,Eifel,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,48.0,139.14,1.0,Eifel,0.92,0.84,0.92,0.0,Partly cloudy
Lewis Hamilton,50.0,90.442,1.0,Eifel,0.92,0.84,0.92,0.0,Partly cloudy
