driver,lap_number,lap_time,position,race,aggressiveness,defensive_ability,stamina,total_overtakes,weather
Lewis Hamilton,1.0,131.904,6.0,Turkey,0.92,0.84,0.92,0.0,Cloudy
Lewis Hamilton,2.0,119.881,6.0,Turkey,0.92,0.84,0.92,0.0,Cloudy
Lewis Hamilton,3.0,116.659,6.0,Turkey,0.92,0.84,0.92,0.0,Cloudy
Lewis Hamilton,4.0,115.018,6.0,Turkey,0.92,0.84,0.92,0.0,Cloudy
Lewis Hamilton,5.0,114.724,6.0,Turkey,0.92,0.84,0.92,0.0,Cloudy
Lewis Hamilton,6.0,113.283,6.0,Turkey,0.92,0.84,0.92,0.0,Cloudy
Lewis Hamilton,7.0,112.562,6.0,Turkey,0.92,0.84,0.92,0.0,Cloudy
Lewis Hamilton,8.0,114.401,6.0,Turkey,0.92,0.84,0.92,0.0,Cloudy
Lewis Hamilton,9.0,128.857,8.0,Turkey,0.92,0.84,0.92,0.0,Cloudy
Lewis Hamilton,10.0,105.872,8.0,Turkey,0.92,0.84,0.92,0.0,Cloudy
Lewis Hamilton,11.0,109.209,6.0,Turkey,0.92,0.84,0.92,0.0,Cloudy
Lewis Hamilton,12.0,110.239,6.0,Turkey,0.92,0.84,0.92,0.0,Cloudy
Lewis Hamilton,13.0,114.471,5.0,Turkey,0.92,0.84,0.92,0.0,Cloudy
Lewis Hamilton,14.0,126.654,5.0,Turkey,0.92,0.84,0.92,0.0,Cloudy
Lewis Hamilton,15.0,115.353,6.0,Turkey,0.92,0.84,0.92,0.0,Cloudy
Lewis Hamilton,16.0,107.193,6.0,Turkey,0.92,0.84,0.92,0.0,Cloudy
Lewis Hamilton,17.0,106.044,6.0,Turkey,0.92,0.84,0.92,0.0,Cloudy
Lewis Hamilton,18.0,105.723,5.0,Turkey,0.92,0.84,0.92,0.0,Cloudy
Lewis Hamilton,19.0,104.116,5.0,Turkey,0.92,0.84,0.92,0.0,Cloudy
Lewis Hamilton,20.0,103.948,5.0,Turkey,0.92,0.84,0.92,0.0,Cloudy
Lewis Hamilton,21.0,102.909,5.0,Turkey,0.92,0.84,0.92,0.0,Cloudy
Lewis Hamilton,22.0,103.593,5.0,Turkey,0.92,0.84,0.92,0.0,Cloudy
Lewis Hamilton,23.0,104.136,5.0,Turkey,0.92,0.84,0.92,0.0,Cloudy
Lewis Hamilton,24.0,103.78,5.0,Turkey,0.92,0.84,0.92,0.0,Cloudy
Lewis Hamilton,25.0,103.136,5.0,Turkey,0.92,0.84,0.92,0.0,Cloudy
Lewis Hamilton,26.0,102.092,5.0,Turkey,0.92,0.84,0.92,0.0,Cloudy
Lewis Hamilton,27.0,102.711,5.0,Turkey,0.92,0.84,0.92,0.0,Cloudy
Lewis Hamilton,28.0,102.995,5.0,Turkey,0.92,0.84,0.92,0.0,Cloudy
Lewis Hamilton,29.0,102.475,5.0,Turkey,0.92,0.84,0.92,0.0,Cloudy
Lewis Hamilton,30.0,103.238,5.0,Turkey,0.92,0.84,0.92,0.0,Cloudy
Lewis Hamilton,31.0,103.783,5.0,Turkey,0.92,0.84,0.92,0.0,Cloudy
Lewis Hamilton,32.0,104.355,5.0,Turkey,0.92,0.84,0.92,0.0,Cloudy
Lewis Hamilton,33.0,102.318,4.0,Turkey,0.92,0.84,0.92,0.0,Cloudy
Lewis Hamilton,34.0,101.664,3.0,Turkey,0.92,0.84,0.92,0.0,Cloudy
Lewis Hamilton,35.0,101.658,3.0,Turkey,0.92,0.84,0.92,0.0,Cloudy
Lewis Hamilton,36.0,102.606,3.0,Turkey,0.92,0.84,0.92,0.0,Cloudy
Lewis Hamilton,37.0,102.089,1.0,Turkey,0.92,0.84,0.92,0.0,Cloudy
Lewis Hamilton,38.0,101.956,1.0,Turkey,0.92,0.84,0.92,0.0,Cloudy
Lewis Hamilton,39.0,101.866,1.0,Turkey,0.92,0.84,0.92,0.0,Cloudy
Lewis Hamilton,40.0,100.637,1.0,Turkey,0.92,0.84,0.92,0.0,Cloudy
Lewis Hamilton,41.0,100.261,1.0,Turkey,0.92,0.84,0.92,0.0,Cloudy
Lewis Hamilton,42.0,99.999,1.0,Turkey,0.92,0.84,0.92,0.0,Cloudy
Lewis Hamilton,43.0,100.489,1.0,Turkey,0.92,0.84,0.92,0.0,Cloudy
Lewis Hamilton,44.0,100.591,1.0,Turkey,0.92,0.84,0.92,0.0,Cloudy
Lewis Hamilton,45.0,100.979,1.0,Turkey,0.92,0.84,0.92,0.0,Cloudy
Lewis Hamilton,46.0,102.168,1.0,Turkey,0.92,0.84,0.92,0.0,Cloudy
Lewis Hamilton,47.0,100.768,1.0,Turkey,0.92,0.84,0.92,0.0,Cloudy
Lewis Hamilton,48.0,101.385,1.0,Turkey,0.92,0.84,0.92,0.0,Cloudy
Lewis Hamilton,49.0,100.976,1.0,Turkey,0.92,0.84,0.92,0.0,Cloudy
Lewis Hamilton,50.0,100.483,1.0,Turkey,0.92,0.84,0.92,0.0,Cloudy
Lewis Hamilton,51.0,100.435,1.0,Turkey,0.92,0.84,0.92,0.0,Cloudy
Lewis Hamilton,52.0,99.875,1.0,Turkey,0.92,0.84,0.92,0.0,Cloudy
Lewis Hamilton,53.0,100.365,1.0,Turkey,0.92,0.84,0.92,0.0,Cloudy
Lewis Hamilton,54.0,100.466,1.0,Turkey,0.92,0.84,0.92,0.0,Cloudy
Lewis Hamilton,55.0,100.732,1.0,Turkey,0.92,0.84,0.92,0.0,Cloudy
Lewis Hamilton,56.0,99.413,1.0,Turkey,0.92,0.84,0.92,0.0,Cloudy
Lewis Hamilton,57.0,99.572,1.0,Turkey,0.92,0.84,0.92,0.0,Cloudy
Lewis Hamilton,58.0,100.248,1.0,Turkey,0.92,0.84,0.92,0.0,Cloudy
Sergio Perez,1.0,123.644,2.0,Turkey,0.9,0.76,0.8,0.0,Cloudy
Sergio Perez,2.0,116.79,2.0,Turkey,0.9,0.76,0.8,0.0,Cloudy
Sergio Perez,3.0,115.002,2.0,Turkey,0.9,0.76,0.8,0.0,Cloudy
Sergio Perez,4.0,114.339,2.0,Turkey,0.9,0.76,0.8,0.0,Cloudy
Sergio Perez,5.0,113.215,2.0,Turkey,0.9,0.76,0.8,0.0,Cloudy
Sergio Perez,6.0,113.03,2.0,Turkey,0.9,0.76,0.8,0.0,Cloudy
Sergio Perez,7.0,114.219,2.0,Turkey,0.9,0.76,0.8,0.0,Cloudy
Sergio Perez,8.0,112.989,2.0,Turkey,0.9,0.76,0.8,0.0,Cloudy
Sergio Perez,9.0,113.194,2.0,Turkey,0.9,0.76,0.8,0.0,Cloudy
Sergio Perez,10.0,112.914,1.0,Turkey,0.9,0.76,0.8,0.0,Cloudy
Sergio Perez,11.0,131.088,4.0,Turkey,0.9,0.76,0.8,0.0,Cloudy
Sergio Perez,12.0,107.38,3.0,Turkey,0.9,0.76,0.8,0.0,Cloudy
Sergio Perez,13.0,108.306,2.0,Turkey,0.9,0.76,0.8,0.0,Cloudy
Sergio Perez,14.0,128.386,2.0,Turkey,0.9,0.76,0.8,0.0,Cloudy
Sergio Perez,15.0,114.009,2.0,Turkey,0.9,0.76,0.8,0.0,Cloudy
Sergio Perez,16.0,105.323,2.0,Turkey,0.9,0.76,0.8,0.0,Cloudy
Sergio Perez,17.0,105.211,2.0,Turkey,0.9,0.76,0.8,0.0,Cloudy
Sergio Perez,18.0,105.37,2.0,Turkey,0.9,0.76,0.8,0.0,Cloudy
Sergio Perez,19.0,103.377,2.0,Turkey,0.9,0.76,0.8,0.0,Cloudy
Sergio Perez,20.0,103.531,2.0,Turkey,0.9,0.76,0.8,0.0,Cloudy
Sergio Perez,21.0,103.267,2.0,Turkey,0.9,0.76,0.8,0.0,Cloudy
Sergio Perez,22.0,104.075,2.0,Turkey,0.9,0.76,0.8,0.0,Cloudy
Sergio Perez,23.0,103.681,2.0,Turkey,0.9,0.76,0.8,0.0,Cloudy
Sergio Perez,24.0,104.516,2.0,Turkey,0.9,0.76,0.8,0.0,Cloudy
Sergio Perez,25.0,104.928,2.0,Turkey,0.9,0.76,0.8,0.0,Cloudy
Sergio Perez,26.0,103.872,2.0,Turkey,0.9,0.76,0.8,0.0,Cloudy
Sergio Perez,27.0,104.04,2.0,Turkey,0.9,0.76,0.8,0.0,Cloudy
Sergio Perez,28.0,104.276,2.0,Turkey,0.9,0.76,0.8,0.0,Cloudy
Sergio Perez,29.0,104.068,2.0,Turkey,0.9,0.76,0.8,0.0,Cloudy
Sergio Perez,30.0,103.806,2.0,Turkey,0.9,0.76,0.8,0.0,Cloudy
Sergio Perez,31.0,103.6,2.0,Turkey,0.9,0.76,0.8,0.0,Cloudy
Sergio Perez,32.0,103.12,2.0,Turkey,0.9,0.76,0.8,0.0,Cloudy
Sergio Perez,33.0,102.225,2.0,Turkey,0.9,0.76,0.8,0.0,Cloudy
Sergio Perez,34.0,103.841,2.0,Turkey,0.9,0.76,0.8,0.0,Cloudy
Sergio Perez,35.0,103.477,2.0,Turkey,0.9,0.76,0.8,0.0,Cloudy
Sergio Perez,36.0,104.117,1.0,Turkey,0.9,0.76,0.8,0.0,Cloudy
Sergio Perez,37.0,104.418,2.0,Turkey,0.9,0.76,0.8,0.0,Cloudy
Sergio Perez,38.0,104.581,2.0,Turkey,0.9,0.76,0.8,0.0,Cloudy
Sergio Perez,39.0,103.834,2.0,Turkey,0.9,0.76,0.8,0.0,Cloudy
Sergio Perez,40.0,103.459,2.0,Turkey,0.9,0.76,0.8,0.0,Cloudy
Sergio Perez,41.0,103.401,2.0,Turkey,0.9,0.76,0.8,0.0,Cloudy
Sergio Perez,42.0,102.645,2.0,Turkey,0.9,0.76,0.8,0.0,Cloudy
Sergio Perez,43.0,102.194,2.0,Turkey,0.9,0.76,0.8,0.0,Cloudy
Sergio Perez,44.0,102.557,2.0,Turkey,0.9,0.76,0.8,0.0,Cloudy
Sergio Perez,45.0,102.152,2.0,Turkey,0.9,0.76,0.8,0.0,Cloudy
Sergio Perez,46.0,101.654,2.0,Turkey,0.9,0.76,0.8,0.0,Cloudy
Sergio Perez,47.0,101.704,2.0,Turkey,0.9,0.76,0.8,0.0,Cloudy
Sergio Perez,48.0,101.256,2.0,Turkey,0.9,0.76,0.8,0.0,Cloudy
Sergio Perez,49.0,100.971,2.0,Turkey,0.9,0.76,0.8,0.0,Cloudy
Sergio Perez,50.0,100.392,2.0,Turkey,0.9,0.76,0.8,0.0,Cloudy
Sergio Perez,51.0,101.343,2.0,Turkey,0.9,0.76,0.8,0.0,Cloudy
Sergio Perez,52.0,101.086,2.0,Turkey,0.9,0.76,0.8,0.0,Cloudy
Sergio Perez,53.0,101.805,2.0,Turkey,0.9,0.76,0.8,0.0,Cloudy
Sergio Perez,54.0,101.249,2.0,Turkey,0.9,0.76,0.8,0.0,Cloudy
Sergio Perez,55.0,101.974,2.0,Turkey,0.9,0.76,0.8,0.0,Cloudy
Sergio Perez,56.0,100.455,2.0,Turkey,0.9,0.76,0.8,0.0,Cloudy
