driver,lap_number,lap_time,position,race,aggressiveness,defensive_ability,stamina,total_overtakes,championships,employees,engine_manufacturer,Age,weather
Lewis Hamilton,1.0,127.777,1.0,Bahrain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Clear
Lewis Hamilton,4.0,144.304,1.0,Bahrain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Clear
Lewis Hamilton,5.0,147.673,1.0,Bahrain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Clear
Lewis Hamilton,6.0,140.062,1.0,Bahrain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Clear
Lewis Hamilton,7.0,138.867,1.0,Bahrain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Clear
Lewis Hamilton,9.0,93.733,1.0,Bahrain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Clear
Lewis Hamilton,10.0,94.357,1.0,Bahrain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Clear
Lewis Hamilton,11.0,94.49,1.0,Bahrain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Clear
Lewis Hamilton,12.0,94.464,1.0,Bahrain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Clear
Lewis Hamilton,13.0,94.883,1.0,Bahrain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Clear
Lewis Hamilton,14.0,94.785,1.0,Bahrain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Clear
Lewis Hamilton,15.0,94.824,1.0,Bahrain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Clear
Lewis Hamilton,16.0,94.838,1.0,Bahrain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Clear
Lewis Hamilton,17.0,95.096,1.0,Bahrain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Clear
Lewis Hamilton,18.0,94.929,1.0,Bahrain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Clear
Lewis Hamilton,19.0,97.767,1.0,Bahrain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Clear
Lewis Hamilton,20.0,114.337,3.0,Bahrain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Clear
Lewis Hamilton,21.0,94.948,1.0,Bahrain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Clear
Lewis Hamilton,22.0,94.165,1.0,Bahrain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Clear
Lewis Hamilton,23.0,93.337,1.0,Bahrain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Clear
Lewis Hamilton,24.0,94.154,1.0,Bahrain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Clear
Lewis Hamilton,25.0,93.753,1.0,Bahrain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Clear
Lewis Hamilton,26.0,94.03,1.0,Bahrain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Clear
Lewis Hamilton,27.0,93.616,1.0,Bahrain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Clear
Lewis Hamilton,28.0,93.672,1.0,Bahrain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Clear
Lewis Hamilton,29.0,93.844,1.0,Bahrain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Clear
Lewis Hamilton,30.0,94.512,1.0,Bahrain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Clear
Lewis Hamilton,31.0,94.73,1.0,Bahrain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Clear
Lewis Hamilton,32.0,94.259,1.0,Bahrain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Clear
Lewis Hamilton,33.0,94.377,1.0,Bahrain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Clear
Lewis Hamilton,34.0,94.59,1.0,Bahrain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Clear
Lewis Hamilton,35.0,97.475,1.0,Bahrain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Clear
Lewis Hamilton,36.0,115.511,1.0,Bahrain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Clear
Lewis Hamilton,37.0,92.897,1.0,Bahrain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Clear
Lewis Hamilton,38.0,92.864,1.0,Bahrain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Clear
Lewis Hamilton,39.0,93.206,1.0,Bahrain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Clear
Lewis Hamilton,40.0,93.525,1.0,Bahrain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Clear
Lewis Hamilton,41.0,93.228,1.0,Bahrain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Clear
Lewis Hamilton,42.0,92.881,1.0,Bahrain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Clear
Lewis Hamilton,43.0,93.61,1.0,Bahrain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Clear
Lewis Hamilton,44.0,93.121,1.0,Bahrain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Clear
Lewis Hamilton,45.0,93.692,1.0,Bahrain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Clear
Lewis Hamilton,46.0,93.493,1.0,Bahrain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Clear
Lewis Hamilton,47.0,93.495,1.0,Bahrain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Clear
Lewis Hamilton,48.0,93.624,1.0,Bahrain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Clear
Lewis Hamilton,49.0,93.629,1.0,Bahrain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Clear
Lewis Hamilton,50.0,93.672,1.0,Bahrain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Clear
Lewis Hamilton,51.0,93.752,1.0,Bahrain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Clear
Lewis Hamilton,52.0,94.103,1.0,Bahrain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Clear
Lewis Hamilton,53.0,94.256,1.0,Bahrain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Clear
Lewis Hamilton,54.0,94.153,1.0,Bahrain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Clear
Lewis Hamilton,55.0,127.139,1.0,Bahrain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Clear
Lewis Hamilton,56.0,142.229,1.0,Bahrain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Clear
Max Verstappen,1.0,129.912,3.0,Bahrain,0.94,0.97,0.68,0.0,4,1000,1,22.0,Clear
Max Verstappen,4.0,144.266,2.0,Bahrain,0.94,0.97,0.68,0.0,4,1000,1,22.0,Clear
Max Verstappen,5.0,148.753,2.0,Bahrain,0.94,0.97,0.68,0.0,4,1000,1,22.0,Clear
Max Verstappen,6.0,138.96,2.0,Bahrain,0.94,0.97,0.68,0.0,4,1000,1,22.0,Clear
Max Verstappen,7.0,138.648,2.0,Bahrain,0.94,0.97,0.68,0.0,4,1000,1,22.0,Clear
Max Verstappen,9.0,94.185,2.0,Bahrain,0.94,0.97,0.68,0.0,4,1000,1,22.0,Clear
Max Verstappen,10.0,94.535,2.0,Bahrain,0.94,0.97,0.68,0.0,4,1000,1,22.0,Clear
Max Verstappen,11.0,94.705,2.0,Bahrain,0.94,0.97,0.68,0.0,4,1000,1,22.0,Clear
Max Verstappen,12.0,94.699,2.0,Bahrain,0.94,0.97,0.68,0.0,4,1000,1,22.0,Clear
Max Verstappen,13.0,95.153,2.0,Bahrain,0.94,0.97,0.68,0.0,4,1000,1,22.0,Clear
Max Verstappen,14.0,95.2,2.0,Bahrain,0.94,0.97,0.68,0.0,4,1000,1,22.0,Clear
Max Verstappen,15.0,95.052,2.0,Bahrain,0.94,0.97,0.68,0.0,4,1000,1,22.0,Clear
Max Verstappen,16.0,95.589,2.0,Bahrain,0.94,0.97,0.68,0.0,4,1000,1,22.0,Clear
Max Verstappen,17.0,95.258,2.0,Bahrain,0.94,0.97,0.68,0.0,4,1000,1,22.0,Clear
Max Verstappen,18.0,95.932,2.0,Bahrain,0.94,0.97,0.68,0.0,4,1000,1,22.0,Clear
Max Verstappen,19.0,95.729,2.0,Bahrain,0.94,0.97,0.68,0.0,4,1000,1,22.0,Clear
Max Verstappen,20.0,98.1,1.0,Bahrain,0.94,0.97,0.68,0.0,4,1000,1,22.0,Clear
Max Verstappen,21.0,114.175,2.0,Bahrain,0.94,0.97,0.68,0.0,4,1000,1,22.0,Clear
Max Verstappen,22.0,93.085,2.0,Bahrain,0.94,0.97,0.68,0.0,4,1000,1,22.0,Clear
Max Verstappen,23.0,93.781,2.0,Bahrain,0.94,0.97,0.68,0.0,4,1000,1,22.0,Clear
