driver,lap_number,lap_time,position,race,aggressiveness,defensive_ability,stamina,total_overtakes,championships,employees,engine_manufacturer,Age,weather
Max Verstappen,1.0,103.833,1.0,Abu Dhabi,0.94,0.97,0.68,0.0,4,1000,1,22.0,Clear
Max Verstappen,2.0,102.292,1.0,Abu Dhabi,0.94,0.97,0.68,0.0,4,1000,1,22.0,Clear
Max Verstappen,3.0,102.207,1.0,Abu Dhabi,0.94,0.97,0.68,0.0,4,1000,1,22.0,Clear
Max Verstappen,4.0,102.45,1.0,Abu Dhabi,0.94,0.97,0.68,0.0,4,1000,1,22.0,Clear
Max Verstappen,5.0,102.652,1.0,Abu Dhabi,0.94,0.97,0.68,0.0,4,1000,1,22.0,Clear
Max Verstappen,6.0,102.562,1.0,Abu Dhabi,0.94,0.97,0.68,0.0,4,1000,1,22.0,Clear
Max Verstappen,7.0,102.651,1.0,Abu Dhabi,0.94,0.97,0.68,0.0,4,1000,1,22.0,Clear
Max Verstappen,8.0,102.506,1.0,Abu Dhabi,0.94,0.97,0.68,0.0,4,1000,1,22.0,Clear
Max Verstappen,9.0,102.461,1.0,Abu Dhabi,0.94,0.97,0.68,0.0,4,1000,1,22.0,Clear
Max Verstappen,10.0,126.235,1.0,Abu Dhabi,0.94,0.97,0.68,0.0,4,1000,1,22.0,Clear
Max Verstappen,14.0,100.958,1.0,Abu Dhabi,0.94,0.97,0.68,0.0,4,1000,1,22.0,Clear
Max Verstappen,15.0,101.153,1.0,Abu Dhabi,0.94,0.97,0.68,0.0,4,1000,1,22.0,Clear
Max Verstappen,16.0,101.315,1.0,Abu Dhabi,0.94,0.97,0.68,0.0,4,1000,1,22.0,Clear
Max Verstappen,17.0,101.571,1.0,Abu Dhabi,0.94,0.97,0.68,0.0,4,1000,1,22.0,Clear
Max Verstappen,18.0,101.427,1.0,Abu Dhabi,0.94,0.97,0.68,0.0,4,1000,1,22.0,Clear
Max Verstappen,19.0,101.423,1.0,Abu Dhabi,0.94,0.97,0.68,0.0,4,1000,1,22.0,Clear
Max Verstappen,20.0,101.56,1.0,Abu Dhabi,0.94,0.97,0.68,0.0,4,1000,1,22.0,Clear
Max Verstappen,21.0,101.462,1.0,Abu Dhabi,0.94,0.97,0.68,0.0,4,1000,1,22.0,Clear
Max Verstappen,22.0,101.25,1.0,Abu Dhabi,0.94,0.97,0.68,0.0,4,1000,1,22.0,Clear
Max Verstappen,23.0,101.4,1.0,Abu Dhabi,0.94,0.97,0.68,0.0,4,1000,1,22.0,Clear
Max Verstappen,24.0,101.579,1.0,Abu Dhabi,0.94,0.97,0.68,0.0,4,1000,1,22.0,Clear
Max Verstappen,25.0,101.653,1.0,Abu Dhabi,0.94,0.97,0.68,0.0,4,1000,1,22.0,Clear
Max Verstappen,26.0,101.357,1.0,Abu Dhabi,0.94,0.97,0.68,0.0,4,1000,1,22.0,Clear
Max Verstappen,27.0,101.362,1.0,Abu Dhabi,0.94,0.97,0.68,0.0,4,1000,1,22.0,Clear
Max Verstappen,28.0,101.318,1.0,Abu Dhabi,0.94,0.97,0.68,0.0,4,1000,1,22.0,Clear
Max Verstappen,29.0,101.491,1.0,Abu Dhabi,0.94,0.97,0.68,0.0,4,1000,1,22.0,Clear
Max Verstappen,30.0,101.296,1.0,Abu Dhabi,0.94,0.97,0.68,0.0,4,1000,1,22.0,Clear
Max Verstappen,31.0,101.281,1.0,Abu Dhabi,0.94,0.97,0.68,0.0,4,1000,1,22.0,Clear
Max Verstappen,32.0,101.254,1.0,Abu Dhabi,0.94,0.97,0.68,0.0,4,1000,1,22.0,Clear
Max Verstappen,33.0,101.162,1.0,Abu Dhabi,0.94,0.97,0.68,0.0,4,1000,1,22.0,Clear
Max Verstappen,34.0,101.201,1.0,Abu Dhabi,0.94,0.97,0.68,0.0,4,1000,1,22.0,Clear
Max Verstappen,35.0,101.455,1.0,Abu Dhabi,0.94,0.97,0.68,0.0,4,1000,1,22.0,Clear
Max Verstappen,36.0,101.565,1.0,Abu Dhabi,0.94,0.97,0.68,0.0,4,1000,1,22.0,Clear
Max Verstappen,37.0,101.725,1.0,Abu Dhabi,0.94,0.97,0.68,0.0,4,1000,1,22.0,Clear
Max Verstappen,38.0,102.119,1.0,Abu Dhabi,0.94,0.97,0.68,0.0,4,1000,1,22.0,Clear
