driver,lap_number,lap_time,position,race
33,1.0,103.833,1.0,Abu Dhabi
33,2.0,102.292,1.0,Abu Dhabi
33,3.0,102.207,1.0,Abu Dhabi
33,4.0,102.45,1.0,Abu Dhabi
33,5.0,102.652,1.0,Abu Dhabi
33,6.0,102.562,1.0,Abu Dhabi
33,7.0,102.651,1.0,Abu Dhabi
33,8.0,102.506,1.0,Abu Dhabi
33,9.0,102.461,1.0,Abu Dhabi
33,10.0,126.235,1.0,Abu Dhabi
33,11.0,,1.0,Abu Dhabi
33,12.0,,1.0,Abu Dhabi
33,13.0,,1.0,Abu Dhabi
33,14.0,100.958,1.0,Abu Dhabi
33,15.0,101.153,1.0,Abu Dhabi
33,16.0,101.315,1.0,Abu Dhabi
33,17.0,101.571,1.0,Abu Dhabi
33,18.0,101.427,1.0,Abu Dhabi
33,19.0,101.423,1.0,Abu Dhabi
33,20.0,101.56,1.0,Abu Dhabi
33,21.0,101.462,1.0,Abu Dhabi
33,22.0,101.25,1.0,Abu Dhabi
33,23.0,101.4,1.0,Abu Dhabi
33,24.0,101.579,1.0,Abu Dhabi
33,25.0,101.653,1.0,Abu Dhabi
33,26.0,101.357,1.0,Abu Dhabi
33,27.0,101.362,1.0,Abu Dhabi
33,28.0,101.318,1.0,Abu Dhabi
33,29.0,101.491,1.0,Abu Dhabi
33,30.0,101.296,1.0,Abu Dhabi
33,31.0,101.281,1.0,Abu Dhabi
33,32.0,101.254,1.0,Abu Dhabi
33,33.0,101.162,1.0,Abu Dhabi
33,34.0,101.201,1.0,Abu Dhabi
33,35.0,101.455,1.0,Abu Dhabi
33,36.0,101.565,1.0,Abu Dhabi
33,37.0,101.725,1.0,Abu Dhabi
33,38.0,102.119,1.0,Abu Dhabi
33,39.0,101.334,1.0,Abu Dhabi
33,40.0,101.228,1.0,Abu Dhabi
33,41.0,101.18,1.0,Abu Dhabi
33,42.0,101.421,1.0,Abu Dhabi
33,43.0,101.569,1.0,Abu Dhabi
33,44.0,101.546,1.0,Abu Dhabi
33,45.0,101.621,1.0,Abu Dhabi
33,46.0,101.367,1.0,Abu Dhabi
33,47.0,101.65,1.0,Abu Dhabi
33,48.0,101.982,1.0,Abu Dhabi
33,49.0,102.033,1.0,Abu Dhabi
33,50.0,101.805,1.0,Abu Dhabi
33,51.0,101.838,1.0,Abu Dhabi
33,52.0,101.497,1.0,Abu Dhabi
33,53.0,101.596,1.0,Abu Dhabi
33,54.0,101.626,1.0,Abu Dhabi
33,55.0,102.182,1.0,Abu Dhabi
77,1.0,105.274,2.0,Abu Dhabi
77,2.0,102.716,2.0,Abu Dhabi
77,3.0,102.641,2.0,Abu Dhabi
77,4.0,102.798,2.0,Abu Dhabi
77,5.0,102.589,2.0,Abu Dhabi
77,6.0,102.662,2.0,Abu Dhabi
77,7.0,102.764,2.0,Abu Dhabi
77,8.0,102.752,2.0,Abu Dhabi
77,9.0,102.691,2.0,Abu Dhabi
77,10.0,127.879,2.0,Abu Dhabi
77,11.0,,2.0,Abu Dhabi
77,12.0,,2.0,Abu Dhabi
77,13.0,,2.0,Abu Dhabi
77,14.0,101.542,2.0,Abu Dhabi
77,15.0,101.35,2.0,Abu Dhabi
77,16.0,102.089,2.0,Abu Dhabi
77,17.0,101.835,2.0,Abu Dhabi
77,18.0,101.87,2.0,Abu Dhabi
77,19.0,101.766,2.0,Abu Dhabi
77,20.0,101.919,2.0,Abu Dhabi
77,21.0,101.821,2.0,Abu Dhabi
77,22.0,101.772,2.0,Abu Dhabi
77,23.0,101.686,2.0,Abu Dhabi
77,24.0,101.439,2.0,Abu Dhabi
77,25.0,101.685,2.0,Abu Dhabi
77,26.0,102.086,2.0,Abu Dhabi
77,27.0,101.893,2.0,Abu Dhabi
77,28.0,101.939,2.0,Abu Dhabi
77,29.0,101.951,2.0,Abu Dhabi
77,30.0,101.505,2.0,Abu Dhabi
77,31.0,101.361,2.0,Abu Dhabi
77,32.0,101.552,2.0,Abu Dhabi
