driver,lap_number,lap_time,position,race
44,1.0,78.184,1.0,Styria
44,2.0,125.472,1.0,Styria
44,3.0,107.6,1.0,Styria
44,4.0,68.631,1.0,Styria
44,5.0,68.968,1.0,Styria
44,6.0,68.897,1.0,Styria
44,7.0,68.61,1.0,Styria
44,8.0,68.581,1.0,Styria
44,9.0,68.845,1.0,Styria
44,10.0,68.774,1.0,Styria
44,11.0,69.012,1.0,Styria
44,12.0,68.653,1.0,Styria
44,13.0,68.484,1.0,Styria
44,14.0,68.85,1.0,Styria
44,15.0,68.561,1.0,Styria
44,16.0,68.552,1.0,Styria
44,17.0,68.813,1.0,Styria
44,18.0,68.491,1.0,Styria
44,19.0,68.385,1.0,Styria
44,20.0,68.183,1.0,Styria
44,21.0,68.419,1.0,Styria
44,22.0,68.319,1.0,Styria
44,23.0,68.782,1.0,Styria
44,24.0,68.539,1.0,Styria
44,25.0,68.404,1.0,Styria
44,26.0,68.482,1.0,Styria
44,27.0,71.845,1.0,Styria
44,28.0,85.661,2.0,Styria
44,29.0,67.863,2.0,Styria
44,30.0,68.071,2.0,Styria
44,31.0,68.135,2.0,Styria
44,32.0,68.033,2.0,Styria
44,33.0,67.897,2.0,Styria
44,34.0,68.094,2.0,Styria
44,35.0,68.409,1.0,Styria
44,36.0,67.95,1.0,Styria
44,37.0,67.876,1.0,Styria
44,38.0,68.467,1.0,Styria
44,39.0,67.651,1.0,Styria
44,40.0,68.04,1.0,Styria
44,41.0,67.864,1.0,Styria
44,42.0,68.157,1.0,Styria
44,43.0,67.744,1.0,Styria
44,44.0,67.953,1.0,Styria
44,45.0,68.286,1.0,Styria
44,46.0,68.47,1.0,Styria
44,47.0,68.063,1.0,Styria
44,48.0,68.169,1.0,Styria
44,49.0,68.182,1.0,Styria
44,50.0,68.058,1.0,Styria
44,51.0,67.935,1.0,Styria
44,52.0,68.032,1.0,Styria
44,53.0,67.983,1.0,Styria
44,54.0,67.962,1.0,Styria
44,55.0,67.767,1.0,Styria
44,56.0,67.895,1.0,Styria
44,57.0,68.015,1.0,Styria
44,58.0,67.977,1.0,Styria
44,59.0,68.133,1.0,Styria
44,60.0,67.929,1.0,Styria
44,61.0,68.209,1.0,Styria
44,62.0,67.781,1.0,Styria
44,63.0,67.664,1.0,Styria
44,64.0,67.704,1.0,Styria
44,65.0,69.083,1.0,Styria
44,66.0,67.018,1.0,Styria
44,67.0,67.834,1.0,Styria
44,68.0,66.719,1.0,Styria
44,69.0,68.124,1.0,Styria
44,70.0,68.162,1.0,Styria
44,71.0,68.328,1.0,Styria
77,1.0,85.391,4.0,Styria
77,2.0,121.395,4.0,Styria
77,3.0,106.19,4.0,Styria
77,4.0,70.776,4.0,Styria
77,5.0,70.607,4.0,Styria
77,6.0,69.311,3.0,Styria
77,7.0,69.189,3.0,Styria
77,8.0,68.96,3.0,Styria
77,9.0,68.656,3.0,Styria
77,10.0,68.683,3.0,Styria
77,11.0,68.806,3.0,Styria
77,12.0,68.531,3.0,Styria
77,13.0,68.907,3.0,Styria
77,14.0,68.703,3.0,Styria
77,15.0,68.67,3.0,Styria
77,16.0,68.557,3.0,Styria
77,17.0,68.737,3.0,Styria
77,18.0,68.742,3.0,Styria
77,19.0,68.724,3.0,Styria
77,20.0,68.433,3.0,Styria
77,21.0,68.614,3.0,Styria
77,22.0,68.439,3.0,Styria
77,23.0,68.738,3.0,Styria
77,24.0,68.831,2.0,Styria
77,25.0,68.813,2.0,Styria
77,26.0,68.477,2.0,Styria
77,27.0,68.748,2.0,Styria
77,28.0,68.386,1.0,Styria
77,29.0,68.54,1.0,Styria
77,30.0,68.751,1.0,Styria
77,31.0,68.559,1.0,Styria
77,32.0,68.754,1.0,Styria
77,33.0,68.792,1.0,Styria
77,34.0,72.773,1.0,Styria
77,35.0,85.416,3.0,Styria
77,36.0,68.026,3.0,Styria
77,37.0,67.998,3.0,Styria
77,38.0,67.966,3.0,Styria
77,39.0,67.628,3.0,Styria
77,40.0,67.591,3.0,Styria
77,41.0,67.655,3.0,Styria
77,42.0,67.82,3.0,Styria
77,43.0,67.678,3.0,Styria
77,44.0,68.3,3.0,Styria
77,45.0,68.587,3.0,Styria
77,46.0,69.014,3.0,Styria
77,47.0,68.17,3.0,Styria
77,48.0,69.009,3.0,Styria
77,49.0,68.752,3.0,Styria
77,50.0,68.119,3.0,Styria
77,51.0,67.618,3.0,Styria
77,52.0,67.849,3.0,Styria
77,53.0,67.716,3.0,Styria
77,54.0,67.731,3.0,Styria
77,55.0,67.631,3.0,Styria
77,56.0,67.833,3.0,Styria
77,57.0,67.789,3.0,Styria
77,58.0,67.813,3.0,Styria
77,59.0,67.749,3.0,Styria
77,60.0,67.816,3.0,Styria
77,61.0,67.666,3.0,Styria
77,62.0,67.534,3.0,Styria
77,63.0,67.785,3.0,Styria
77,64.0,67.75,3.0,Styria
77,65.0,67.691,3.0,Styria
77,66.0,68.847,3.0,Styria
77,67.0,69.184,2.0,Styria
77,68.0,67.939,2.0,Styria
77,69.0,67.618,2.0,Styria
77,70.0,67.807,2.0,Styria
77,71.0,68.124,2.0,Styria
33,1.0,81.063,2.0,Styria
33,2.0,123.866,2.0,Styria
33,3.0,106.919,2.0,Styria
33,4.0,69.382,2.0,Styria
33,5.0,69.086,2.0,Styria
33,6.0,68.993,2.0,Styria
33,7.0,69.084,2.0,Styria
33,8.0,69.065,2.0,Styria
33,9.0,68.925,2.0,Styria
33,10.0,68.836,2.0,Styria
33,11.0,68.798,2.0,Styria
33,12.0,68.693,2.0,Styria
33,13.0,68.889,2.0,Styria
33,14.0,68.763,2.0,Styria
33,15.0,68.888,2.0,Styria
33,16.0,68.853,2.0,Styria
33,17.0,68.839,2.0,Styria
33,18.0,68.801,2.0,Styria
33,19.0,68.725,2.0,Styria
33,20.0,68.82,2.0,Styria
33,21.0,68.831,2.0,Styria
33,22.0,68.7,2.0,Styria
33,23.0,68.887,2.0,Styria
33,24.0,72.205,3.0,Styria
33,25.0,84.818,3.0,Styria
33,26.0,68.248,3.0,Styria
33,27.0,68.466,3.0,Styria
33,28.0,68.376,3.0,Styria
33,29.0,68.069,3.0,Styria
33,30.0,68.112,3.0,Styria
33,31.0,68.133,3.0,Styria
33,32.0,68.234,3.0,Styria
33,33.0,68.015,3.0,Styria
33,34.0,67.901,3.0,Styria
33,35.0,68.049,2.0,Styria
33,36.0,67.972,2.0,Styria
33,37.0,67.909,2.0,Styria
33,38.0,68.041,2.0,Styria
33,39.0,68.164,2.0,Styria
33,40.0,68.041,2.0,Styria
33,41.0,68.148,2.0,Styria
33,42.0,67.81,2.0,Styria
33,43.0,68.029,2.0,Styria
33,44.0,68.12,2.0,Styria
33,45.0,67.984,2.0,Styria
33,46.0,68.236,2.0,Styria
33,47.0,68.105,2.0,Styria
33,48.0,68.121,2.0,Styria
33,49.0,68.238,2.0,Styria
33,50.0,68.191,2.0,Styria
33,51.0,68.328,2.0,Styria
33,52.0,68.34,2.0,Styria
33,53.0,68.174,2.0,Styria
33,54.0,68.192,2.0,Styria
33,55.0,68.149,2.0,Styria
33,56.0,67.962,2.0,Styria
33,57.0,68.556,2.0,Styria
33,58.0,68.394,2.0,Styria
33,59.0,68.224,2.0,Styria
33,60.0,68.692,2.0,Styria
33,61.0,68.27,2.0,Styria
33,62.0,68.125,2.0,Styria
33,63.0,68.345,2.0,Styria
33,64.0,68.501,2.0,Styria
33,65.0,68.532,2.0,Styria
33,66.0,68.956,2.0,Styria
33,67.0,70.794,3.0,Styria
33,68.0,72.203,3.0,Styria
33,69.0,85.459,3.0,Styria
33,70.0,66.145,3.0,Styria
33,71.0,66.599,3.0,Styria
23,1.0,87.279,5.0,Styria
23,2.0,120.714,5.0,Styria
23,3.0,105.619,5.0,Styria
23,4.0,71.008,5.0,Styria
23,5.0,70.745,5.0,Styria
23,6.0,70.549,5.0,Styria
23,7.0,70.405,5.0,Styria
23,8.0,69.748,4.0,Styria
23,9.0,69.707,4.0,Styria
23,10.0,69.8,4.0,Styria
23,11.0,69.742,4.0,Styria
23,12.0,69.632,4.0,Styria
23,13.0,69.703,4.0,Styria
23,14.0,69.771,4.0,Styria
23,15.0,69.979,4.0,Styria
23,16.0,69.589,4.0,Styria
23,17.0,69.64,4.0,Styria
23,18.0,69.59,4.0,Styria
23,19.0,69.786,4.0,Styria
23,20.0,69.355,4.0,Styria
23,21.0,69.819,4.0,Styria
23,22.0,69.634,4.0,Styria
23,23.0,69.495,4.0,Styria
23,24.0,69.446,4.0,Styria
23,25.0,69.595,4.0,Styria
23,26.0,69.441,4.0,Styria
23,27.0,69.36,4.0,Styria
23,28.0,69.205,4.0,Styria
23,29.0,69.045,4.0,Styria
23,30.0,68.948,4.0,Styria
23,31.0,68.973,4.0,Styria
23,32.0,68.964,4.0,Styria
23,33.0,68.746,4.0,Styria
23,34.0,68.893,4.0,Styria
23,35.0,72.843,4.0,Styria
23,36.0,87.167,7.0,Styria
23,37.0,68.193,7.0,Styria
23,38.0,68.269,6.0,Styria
23,39.0,68.141,5.0,Styria
23,40.0,68.358,4.0,Styria
23,41.0,68.243,4.0,Styria
23,42.0,68.251,4.0,Styria
23,43.0,68.46,4.0,Styria
23,44.0,68.561,4.0,Styria
23,45.0,68.701,4.0,Styria
23,46.0,68.872,4.0,Styria
23,47.0,68.886,4.0,Styria
23,48.0,68.904,4.0,Styria
23,49.0,68.622,4.0,Styria
23,50.0,68.521,4.0,Styria
23,51.0,68.305,4.0,Styria
23,52.0,68.234,4.0,Styria
23,53.0,67.961,4.0,Styria
23,54.0,68.141,4.0,Styria
23,55.0,68.375,4.0,Styria
23,56.0,68.237,4.0,Styria
23,57.0,68.176,4.0,Styria
23,58.0,67.671,4.0,Styria
23,59.0,67.645,4.0,Styria
23,60.0,67.656,4.0,Styria
23,61.0,67.512,4.0,Styria
23,62.0,67.52,4.0,Styria
23,63.0,67.449,4.0,Styria
23,64.0,67.519,4.0,Styria
23,65.0,67.33,4.0,Styria
23,66.0,67.347,4.0,Styria
23,67.0,67.299,4.0,Styria
23,68.0,67.109,4.0,Styria
23,69.0,68.175,4.0,Styria
23,70.0,67.869,4.0,Styria
23,71.0,68.636,4.0,Styria
4,1.0,94.458,10.0,Styria
4,2.0,118.343,9.0,Styria
4,3.0,102.241,9.0,Styria
4,4.0,72.229,9.0,Styria
4,5.0,71.819,10.0,Styria
4,6.0,70.56,10.0,Styria
4,7.0,70.321,10.0,Styria
4,8.0,70.56,10.0,Styria
4,9.0,70.501,10.0,Styria
4,10.0,70.386,10.0,Styria
4,11.0,70.294,10.0,Styria
4,12.0,70.393,10.0,Styria
4,13.0,69.631,10.0,Styria
4,14.0,71.545,11.0,Styria
4,15.0,70.197,11.0,Styria
4,16.0,70.089,11.0,Styria
4,17.0,70.254,11.0,Styria
4,18.0,70.199,11.0,Styria
4,19.0,70.417,11.0,Styria
4,20.0,70.181,11.0,Styria
4,21.0,68.901,10.0,Styria
4,22.0,69.875,10.0,Styria
4,23.0,69.789,10.0,Styria
4,24.0,69.415,10.0,Styria
4,25.0,69.746,10.0,Styria
4,26.0,69.55,9.0,Styria
4,27.0,69.219,9.0,Styria
4,28.0,69.042,9.0,Styria
4,29.0,69.294,9.0,Styria
4,30.0,69.282,9.0,Styria
4,31.0,69.236,9.0,Styria
4,32.0,69.313,9.0,Styria
4,33.0,69.014,8.0,Styria
4,34.0,69.242,7.0,Styria
4,35.0,69.097,7.0,Styria
4,36.0,69.219,6.0,Styria
4,37.0,69.412,6.0,Styria
4,38.0,69.337,5.0,Styria
4,39.0,72.959,4.0,Styria
4,40.0,87.871,10.0,Styria
4,41.0,68.652,10.0,Styria
4,42.0,68.002,10.0,Styria
4,43.0,68.087,10.0,Styria
4,44.0,68.436,9.0,Styria
4,45.0,69.289,9.0,Styria
4,46.0,68.611,9.0,Styria
4,47.0,68.087,9.0,Styria
4,48.0,68.138,9.0,Styria
4,49.0,68.125,9.0,Styria
4,50.0,68.159,9.0,Styria
4,51.0,68.181,9.0,Styria
4,52.0,68.068,9.0,Styria
4,53.0,67.812,9.0,Styria
4,54.0,67.846,9.0,Styria
4,55.0,67.928,9.0,Styria
4,56.0,67.91,9.0,Styria
4,57.0,68.122,9.0,Styria
4,58.0,67.87,9.0,Styria
4,59.0,67.769,9.0,Styria
4,60.0,68.626,9.0,Styria
4,61.0,67.854,8.0,Styria
4,62.0,67.697,8.0,Styria
4,63.0,67.864,8.0,Styria
4,64.0,67.286,8.0,Styria
4,65.0,67.578,8.0,Styria
4,66.0,67.193,8.0,Styria
4,67.0,67.572,8.0,Styria
4,68.0,67.491,8.0,Styria
4,69.0,67.889,8.0,Styria
4,70.0,68.613,7.0,Styria
4,71.0,67.967,5.0,Styria
11,1.0,101.19,17.0,Styria
11,2.0,119.148,15.0,Styria
11,3.0,97.229,15.0,Styria
11,4.0,71.533,13.0,Styria
11,5.0,71.241,12.0,Styria
11,6.0,69.872,11.0,Styria
11,7.0,70.541,11.0,Styria
11,8.0,70.304,11.0,Styria
11,9.0,70.585,11.0,Styria
11,10.0,70.326,11.0,Styria
11,11.0,70.306,11.0,Styria
11,12.0,70.431,11.0,Styria
11,13.0,69.738,11.0,Styria
11,14.0,69.611,10.0,Styria
11,15.0,70.106,10.0,Styria
11,16.0,70.189,10.0,Styria
11,17.0,70.226,10.0,Styria
11,18.0,69.542,9.0,Styria
11,19.0,69.716,9.0,Styria
11,20.0,69.688,9.0,Styria
11,21.0,69.609,9.0,Styria
11,22.0,69.455,9.0,Styria
11,23.0,69.439,9.0,Styria
11,24.0,69.226,9.0,Styria
11,25.0,69.574,8.0,Styria
11,26.0,69.241,8.0,Styria
11,27.0,69.036,8.0,Styria
11,28.0,69.13,8.0,Styria
11,29.0,68.932,8.0,Styria
11,30.0,69.099,8.0,Styria
11,31.0,69.059,8.0,Styria
11,32.0,69.19,8.0,Styria
11,33.0,69.131,6.0,Styria
11,34.0,68.664,6.0,Styria
11,35.0,68.61,6.0,Styria
11,36.0,68.733,5.0,Styria
11,37.0,68.662,4.0,Styria
11,38.0,71.86,4.0,Styria
11,39.0,86.407,8.0,Styria
11,40.0,67.972,7.0,Styria
11,41.0,68.102,7.0,Styria
11,42.0,68.047,7.0,Styria
11,43.0,68.02,7.0,Styria
11,44.0,68.218,7.0,Styria
11,45.0,68.663,6.0,Styria
11,46.0,68.35,6.0,Styria
11,47.0,68.262,6.0,Styria
11,48.0,69.061,5.0,Styria
11,49.0,68.037,5.0,Styria
11,50.0,67.578,5.0,Styria
11,51.0,67.513,5.0,Styria
11,52.0,67.542,5.0,Styria
11,53.0,67.547,5.0,Styria
11,54.0,67.41,5.0,Styria
11,55.0,67.697,5.0,Styria
11,56.0,68.082,5.0,Styria
11,57.0,68.476,5.0,Styria
11,58.0,67.715,5.0,Styria
11,59.0,67.689,5.0,Styria
11,60.0,67.586,5.0,Styria
11,61.0,67.715,5.0,Styria
11,62.0,67.396,5.0,Styria
11,63.0,67.413,5.0,Styria
11,64.0,67.59,5.0,Styria
11,65.0,67.286,5.0,Styria
11,66.0,67.362,5.0,Styria
11,67.0,67.339,5.0,Styria
11,68.0,67.188,5.0,Styria
11,69.0,70.026,5.0,Styria
11,70.0,73.76,5.0,Styria
11,71.0,77.849,6.0,Styria
18,1.0,95.274,11.0,Styria
18,2.0,118.807,10.0,Styria
18,3.0,101.123,10.0,Styria
18,4.0,72.36,10.0,Styria
18,5.0,70.658,9.0,Styria
18,6.0,70.808,9.0,Styria
18,7.0,70.268,9.0,Styria
18,8.0,70.483,9.0,Styria
18,9.0,70.332,9.0,Styria
18,10.0,70.479,9.0,Styria
18,11.0,70.347,9.0,Styria
18,12.0,69.791,9.0,Styria
18,13.0,69.885,9.0,Styria
18,14.0,70.024,9.0,Styria
18,15.0,70.046,9.0,Styria
18,16.0,70.595,9.0,Styria
18,17.0,69.403,8.0,Styria
18,18.0,69.919,8.0,Styria
18,19.0,69.694,8.0,Styria
18,20.0,69.635,8.0,Styria
18,21.0,69.651,8.0,Styria
18,22.0,69.436,8.0,Styria
18,23.0,69.536,8.0,Styria
18,24.0,69.227,8.0,Styria
18,25.0,69.439,7.0,Styria
18,26.0,69.176,7.0,Styria
18,27.0,69.084,7.0,Styria
18,28.0,69.387,7.0,Styria
18,29.0,69.067,7.0,Styria
18,30.0,69.339,7.0,Styria
18,31.0,69.216,7.0,Styria
18,32.0,69.158,6.0,Styria
18,33.0,72.456,7.0,Styria
18,34.0,85.635,11.0,Styria
18,35.0,68.879,11.0,Styria
18,36.0,69.149,9.0,Styria
18,37.0,68.205,8.0,Styria
18,38.0,68.355,8.0,Styria
18,39.0,68.373,7.0,Styria
18,40.0,68.204,6.0,Styria
18,41.0,68.288,6.0,Styria
18,42.0,68.335,6.0,Styria
18,43.0,68.17,6.0,Styria
18,44.0,68.426,6.0,Styria
18,45.0,70.166,7.0,Styria
18,46.0,68.826,7.0,Styria
18,47.0,68.648,7.0,Styria
18,48.0,69.116,7.0,Styria
18,49.0,68.562,7.0,Styria
18,50.0,68.879,7.0,Styria
18,51.0,68.63,7.0,Styria
18,52.0,68.644,7.0,Styria
18,53.0,68.639,7.0,Styria
18,54.0,68.233,7.0,Styria
18,55.0,68.412,7.0,Styria
18,56.0,68.282,7.0,Styria
18,57.0,68.509,7.0,Styria
18,58.0,68.485,7.0,Styria
18,59.0,68.306,7.0,Styria
18,60.0,68.406,7.0,Styria
18,61.0,67.931,7.0,Styria
18,62.0,68.281,7.0,Styria
18,63.0,68.0,7.0,Styria
18,64.0,67.975,7.0,Styria
18,65.0,67.833,7.0,Styria
18,66.0,68.092,7.0,Styria
18,67.0,68.033,7.0,Styria
18,68.0,67.851,7.0,Styria
18,69.0,67.942,7.0,Styria
18,70.0,68.734,6.0,Styria
18,71.0,69.599,7.0,Styria
3,1.0,89.615,7.0,Styria
3,2.0,120.654,7.0,Styria
3,3.0,103.998,7.0,Styria
3,4.0,71.631,7.0,Styria
3,5.0,71.328,7.0,Styria
3,6.0,70.311,7.0,Styria
3,7.0,70.299,7.0,Styria
3,8.0,70.586,7.0,Styria
3,9.0,70.395,7.0,Styria
3,10.0,70.431,7.0,Styria
3,11.0,70.103,7.0,Styria
3,12.0,69.732,7.0,Styria
3,13.0,70.004,7.0,Styria
3,14.0,69.938,7.0,Styria
3,15.0,69.819,7.0,Styria
3,16.0,69.857,7.0,Styria
3,17.0,70.258,7.0,Styria
