driver,lap_number,lap_time,position,race
44,1.0,131.904,6.0,Turkey
44,2.0,119.881,6.0,Turkey
44,3.0,116.659,6.0,Turkey
44,4.0,115.018,6.0,Turkey
44,5.0,114.724,6.0,Turkey
44,6.0,113.283,6.0,Turkey
44,7.0,112.562,6.0,Turkey
44,8.0,114.401,6.0,Turkey
44,9.0,128.857,8.0,Turkey
44,10.0,105.872,8.0,Turkey
44,11.0,109.209,6.0,Turkey
44,12.0,110.239,6.0,Turkey
44,13.0,114.471,5.0,Turkey
44,14.0,126.654,5.0,Turkey
44,15.0,115.353,6.0,Turkey
44,16.0,107.193,6.0,Turkey
44,17.0,106.044,6.0,Turkey
44,18.0,105.723,5.0,Turkey
44,19.0,104.116,5.0,Turkey
44,20.0,103.948,5.0,Turkey
44,21.0,102.909,5.0,Turkey
44,22.0,103.593,5.0,Turkey
44,23.0,104.136,5.0,Turkey
44,24.0,103.78,5.0,Turkey
44,25.0,103.136,5.0,Turkey
44,26.0,102.092,5.0,Turkey
44,27.0,102.711,5.0,Turkey
44,28.0,102.995,5.0,Turkey
44,29.0,102.475,5.0,Turkey
44,30.0,103.238,5.0,Turkey
44,31.0,103.783,5.0,Turkey
44,32.0,104.355,5.0,Turkey
44,33.0,102.318,4.0,Turkey
44,34.0,101.664,3.0,Turkey
44,35.0,101.658,3.0,Turkey
44,36.0,102.606,3.0,Turkey
44,37.0,102.089,1.0,Turkey
44,38.0,101.956,1.0,Turkey
44,39.0,101.866,1.0,Turkey
44,40.0,100.637,1.0,Turkey
44,41.0,100.261,1.0,Turkey
44,42.0,99.999,1.0,Turkey
44,43.0,100.489,1.0,Turkey
44,44.0,100.591,1.0,Turkey
44,45.0,100.979,1.0,Turkey
44,46.0,102.168,1.0,Turkey
44,47.0,100.768,1.0,Turkey
44,48.0,101.385,1.0,Turkey
44,49.0,100.976,1.0,Turkey
44,50.0,100.483,1.0,Turkey
44,51.0,100.435,1.0,Turkey
44,52.0,99.875,1.0,Turkey
44,53.0,100.365,1.0,Turkey
44,54.0,100.466,1.0,Turkey
44,55.0,100.732,1.0,Turkey
44,56.0,99.413,1.0,Turkey
44,57.0,99.572,1.0,Turkey
44,58.0,100.248,1.0,Turkey
11,1.0,123.644,2.0,Turkey
11,2.0,116.79,2.0,Turkey
11,3.0,115.002,2.0,Turkey
11,4.0,114.339,2.0,Turkey
11,5.0,113.215,2.0,Turkey
11,6.0,113.03,2.0,Turkey
11,7.0,114.219,2.0,Turkey
11,8.0,112.989,2.0,Turkey
11,9.0,113.194,2.0,Turkey
11,10.0,112.914,1.0,Turkey
11,11.0,131.088,4.0,Turkey
11,12.0,107.38,3.0,Turkey
11,13.0,108.306,2.0,Turkey
11,14.0,128.386,2.0,Turkey
11,15.0,114.009,2.0,Turkey
11,16.0,105.323,2.0,Turkey
11,17.0,105.211,2.0,Turkey
11,18.0,105.37,2.0,Turkey
11,19.0,103.377,2.0,Turkey
11,20.0,103.531,2.0,Turkey
11,21.0,103.267,2.0,Turkey
11,22.0,104.075,2.0,Turkey
11,23.0,103.681,2.0,Turkey
11,24.0,104.516,2.0,Turkey
11,25.0,104.928,2.0,Turkey
11,26.0,103.872,2.0,Turkey
11,27.0,104.04,2.0,Turkey
11,28.0,104.276,2.0,Turkey
11,29.0,104.068,2.0,Turkey
11,30.0,103.806,2.0,Turkey
11,31.0,103.6,2.0,Turkey
11,32.0,103.12,2.0,Turkey
11,33.0,102.225,2.0,Turkey
11,34.0,103.841,2.0,Turkey
11,35.0,103.477,2.0,Turkey
11,36.0,104.117,1.0,Turkey
11,37.0,104.418,2.0,Turkey
11,38.0,104.581,2.0,Turkey
11,39.0,103.834,2.0,Turkey
11,40.0,103.459,2.0,Turkey
11,41.0,103.401,2.0,Turkey
11,42.0,102.645,2.0,Turkey
11,43.0,102.194,2.0,Turkey
11,44.0,102.557,2.0,Turkey
11,45.0,102.152,2.0,Turkey
11,46.0,101.654,2.0,Turkey
11,47.0,101.704,2.0,Turkey
11,48.0,101.256,2.0,Turkey
11,49.0,100.971,2.0,Turkey
11,50.0,100.392,2.0,Turkey
11,51.0,101.343,2.0,Turkey
11,52.0,101.086,2.0,Turkey
11,53.0,101.805,2.0,Turkey
11,54.0,101.249,2.0,Turkey
11,55.0,101.974,2.0,Turkey
11,56.0,100.455,2.0,Turkey
11,57.0,101.217,2.0,Turkey
11,58.0,104.373,2.0,Turkey
5,1.0,128.656,3.0,Turkey
5,2.0,118.303,3.0,Turkey
5,3.0,116.056,3.0,Turkey
5,4.0,115.377,3.0,Turkey
5,5.0,114.1,3.0,Turkey
5,6.0,113.284,3.0,Turkey
5,7.0,112.899,3.0,Turkey
5,8.0,113.094,3.0,Turkey
5,9.0,130.845,7.0,Turkey
5,10.0,109.322,7.0,Turkey
5,11.0,109.439,5.0,Turkey
5,12.0,110.603,5.0,Turkey
5,13.0,113.1,4.0,Turkey
5,14.0,127.391,4.0,Turkey
5,15.0,115.131,4.0,Turkey
5,16.0,108.022,5.0,Turkey
5,17.0,106.067,5.0,Turkey
5,18.0,105.212,4.0,Turkey
5,19.0,104.705,4.0,Turkey
5,20.0,103.418,4.0,Turkey
5,21.0,102.734,4.0,Turkey
5,22.0,102.82,4.0,Turkey
5,23.0,103.142,4.0,Turkey
5,24.0,102.811,4.0,Turkey
5,25.0,103.092,4.0,Turkey
5,26.0,103.211,4.0,Turkey
5,27.0,103.2,4.0,Turkey
5,28.0,102.972,4.0,Turkey
5,29.0,103.714,4.0,Turkey
5,30.0,103.467,4.0,Turkey
5,31.0,103.949,4.0,Turkey
5,32.0,103.835,4.0,Turkey
5,33.0,103.841,5.0,Turkey
5,34.0,124.163,6.0,Turkey
5,35.0,101.955,5.0,Turkey
