driver,lap_number,lap_time,position,race,aggressiveness,defensive_ability,stamina,total_overtakes,championships,employees,engine_manufacturer,Age,weather
Max Verstappen,1.0,95.298,3.0,70th Anniversary,0.94,0.97,0.68,1.0,4,1000,1,22.0,Sunny
Max Verstappen,2.0,91.968,3.0,70th Anniversary,0.94,0.97,0.68,1.0,4,1000,1,22.0,Sunny
Max Verstappen,3.0,91.972,3.0,70th Anniversary,0.94,0.97,0.68,1.0,4,1000,1,22.0,Sunny
Max Verstappen,4.0,92.125,3.0,70th Anniversary,0.94,0.97,0.68,1.0,4,1000,1,22.0,Sunny
Max Verstappen,5.0,92.251,3.0,70th Anniversary,0.94,0.97,0.68,1.0,4,1000,1,22.0,Sunny
Max Verstappen,6.0,92.045,3.0,70th Anniversary,0.94,0.97,0.68,1.0,4,1000,1,22.0,Sunny
Max Verstappen,7.0,92.159,3.0,70th Anniversary,0.94,0.97,0.68,1.0,4,1000,1,22.0,Sunny
Max Verstappen,8.0,92.17,3.0,70th Anniversary,0.94,0.97,0.68,1.0,4,1000,1,22.0,Sunny
Max Verstappen,9.0,92.449,3.0,70th Anniversary,0.94,0.97,0.68,1.0,4,1000,1,22.0,Sunny
Max Verstappen,10.0,92.36,3.0,70th Anniversary,0.94,0.97,0.68,1.0,4,1000,1,22.0,Sunny
Max Verstappen,11.0,92.56,3.0,70th Anniversary,0.94,0.97,0.68,1.0,4,1000,1,22.0,Sunny
Max Verstappen,12.0,92.942,3.0,70th Anniversary,0.94,0.97,0.68,1.0,4,1000,1,22.0,Sunny
Max Verstappen,13.0,92.588,3.0,70th Anniversary,0.94,0.97,0.68,1.0,4,1000,1,22.0,Sunny
Max Verstappen,14.0,92.234,2.0,70th Anniversary,0.94,0.97,0.68,1.0,4,1000,1,22.0,Sunny
Max Verstappen,15.0,92.096,1.0,70th Anniversary,0.94,0.97,0.68,1.0,4,1000,1,22.0,Sunny
Max Verstappen,16.0,91.913,1.0,70th Anniversary,0.94,0.97,0.68,1.0,4,1000,1,22.0,Sunny
Max Verstappen,17.0,91.899,1.0,70th Anniversary,0.94,0.97,0.68,1.0,4,1000,1,22.0,Sunny
Max Verstappen,18.0,91.759,1.0,70th Anniversary,0.94,0.97,0.68,1.0,4,1000,1,22.0,Sunny
Max Verstappen,19.0,91.694,1.0,70th Anniversary,0.94,0.97,0.68,1.0,4,1000,1,22.0,Sunny
Max Verstappen,20.0,91.577,1.0,70th Anniversary,0.94,0.97,0.68,1.0,4,1000,1,22.0,Sunny
Max Verstappen,21.0,91.531,1.0,70th Anniversary,0.94,0.97,0.68,1.0,4,1000,1,22.0,Sunny
Max Verstappen,22.0,91.464,1.0,70th Anniversary,0.94,0.97,0.68,1.0,4,1000,1,22.0,Sunny
Max Verstappen,23.0,91.312,1.0,70th Anniversary,0.94,0.97,0.68,1.0,4,1000,1,22.0,Sunny
Max Verstappen,24.0,91.334,1.0,70th Anniversary,0.94,0.97,0.68,1.0,4,1000,1,22.0,Sunny
Max Verstappen,25.0,91.082,1.0,70th Anniversary,0.94,0.97,0.68,1.0,4,1000,1,22.0,Sunny
Max Verstappen,26.0,90.444,1.0,70th Anniversary,0.94,0.97,0.68,1.0,4,1000,1,22.0,Sunny
Max Verstappen,27.0,111.114,1.0,70th Anniversary,0.94,0.97,0.68,1.0,4,1000,1,22.0,Sunny
Max Verstappen,28.0,91.598,1.0,70th Anniversary,0.94,0.97,0.68,1.0,4,1000,1,22.0,Sunny
Max Verstappen,29.0,91.294,1.0,70th Anniversary,0.94,0.97,0.68,1.0,4,1000,1,22.0,Sunny
Max Verstappen,30.0,90.545,1.0,70th Anniversary,0.94,0.97,0.68,1.0,4,1000,1,22.0,Sunny
Max Verstappen,31.0,90.361,1.0,70th Anniversary,0.94,0.97,0.68,1.0,4,1000,1,22.0,Sunny
Max Verstappen,32.0,89.666,1.0,70th Anniversary,0.94,0.97,0.68,1.0,4,1000,1,22.0,Sunny
Max Verstappen,33.0,111.315,2.0,70th Anniversary,0.94,0.97,0.68,1.0,4,1000,1,22.0,Sunny
Max Verstappen,34.0,90.892,2.0,70th Anniversary,0.94,0.97,0.68,1.0,4,1000,1,22.0,Sunny
Max Verstappen,35.0,90.809,2.0,70th Anniversary,0.94,0.97,0.68,1.0,4,1000,1,22.0,Sunny
Max Verstappen,36.0,90.985,2.0,70th Anniversary,0.94,0.97,0.68,1.0,4,1000,1,22.0,Sunny
Max Verstappen,37.0,90.791,2.0,70th Anniversary,0.94,0.97,0.68,1.0,4,1000,1,22.0,Sunny
Max Verstappen,38.0,90.471,2.0,70th Anniversary,0.94,0.97,0.68,1.0,4,1000,1,22.0,Sunny
Max Verstappen,39.0,90.682,2.0,70th Anniversary,0.94,0.97,0.68,1.0,4,1000,1,22.0,Sunny
Max Verstappen,40.0,90.174,2.0,70th Anniversary,0.94,0.97,0.68,1.0,4,1000,1,22.0,Sunny
Max Verstappen,41.0,90.153,2.0,70th Anniversary,0.94,0.97,0.68,1.0,4,1000,1,22.0,Sunny
Max Verstappen,42.0,90.102,1.0,70th Anniversary,0.94,0.97,0.68,1.0,4,1000,1,22.0,Sunny
Max Verstappen,43.0,90.16,1.0,70th Anniversary,0.94,0.97,0.68,1.0,4,1000,1,22.0,Sunny
Max Verstappen,44.0,89.54,1.0,70th Anniversary,0.94,0.97,0.68,1.0,4,1000,1,22.0,Sunny
Max Verstappen,45.0,89.822,1.0,70th Anniversary,0.94,0.97,0.68,1.0,4,1000,1,22.0,Sunny
Max Verstappen,46.0,89.465,1.0,70th Anniversary,0.94,0.97,0.68,1.0,4,1000,1,22.0,Sunny
Max Verstappen,47.0,89.578,1.0,70th Anniversary,0.94,0.97,0.68,1.0,4,1000,1,22.0,Sunny
Max Verstappen,48.0,89.54,1.0,70th Anniversary,0.94,0.97,0.68,1.0,4,1000,1,22.0,Sunny
Max Verstappen,49.0,89.523,1.0,70th Anniversary,0.94,0.97,0.68,1.0,4,1000,1,22.0,Sunny
Max Verstappen,50.0,89.629,1.0,70th Anniversary,0.94,0.97,0.68,1.0,4,1000,1,22.0,Sunny
Max Verstappen,51.0,90.013,1.0,70th Anniversary,0.94,0.97,0.68,1.0,4,1000,1,22.0,Sunny
Max Verstappen,52.0,90.545,1.0,70th Anniversary,0.94,0.97,0.68,1.0,4,1000,1,22.0,Sunny
Lewis Hamilton,1.0,93.847,2.0,70th Anniversary,0.92,0.84,0.92,3.0,8,1200,1,35.0,Sunny
Lewis Hamilton,2.0,91.44,2.0,70th Anniversary,0.92,0.84,0.92,3.0,8,1200,1,35.0,Sunny
Lewis Hamilton,3.0,91.448,2.0,70th Anniversary,0.92,0.84,0.92,3.0,8,1200,1,35.0,Sunny
Lewis Hamilton,4.0,91.859,2.0,70th Anniversary,0.92,0.84,0.92,3.0,8,1200,1,35.0,Sunny
Lewis Hamilton,5.0,92.698,2.0,70th Anniversary,0.92,0.84,0.92,3.0,8,1200,1,35.0,Sunny
Lewis Hamilton,6.0,92.401,2.0,70th Anniversary,0.92,0.84,0.92,3.0,8,1200,1,35.0,Sunny
