driver,lap_number,lap_time,position,race,aggressiveness,defensive_ability,stamina,total_overtakes,championships,employees,engine_manufacturer,Age,weather
Lewis Hamilton,1.0,85.855,1.0,Spain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Partly cloudy
Lewis Hamilton,2.0,84.63,1.0,Spain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Partly cloudy
Lewis Hamilton,3.0,85.037,1.0,Spain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Partly cloudy
Lewis Hamilton,4.0,84.679,1.0,Spain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Partly cloudy
Lewis Hamilton,5.0,84.37,1.0,Spain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Partly cloudy
Lewis Hamilton,6.0,84.247,1.0,Spain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Partly cloudy
Lewis Hamilton,7.0,84.278,1.0,Spain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Partly cloudy
Lewis Hamilton,8.0,84.108,1.0,Spain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Partly cloudy
Lewis Hamilton,9.0,84.526,1.0,Spain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Partly cloudy
Lewis Hamilton,10.0,83.618,1.0,Spain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Partly cloudy
Lewis Hamilton,11.0,83.238,1.0,Spain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Partly cloudy
Lewis Hamilton,12.0,83.067,1.0,Spain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Partly cloudy
Lewis Hamilton,13.0,82.767,1.0,Spain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Partly cloudy
Lewis Hamilton,14.0,83.197,1.0,Spain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Partly cloudy
Lewis Hamilton,15.0,83.095,1.0,Spain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Partly cloudy
Lewis Hamilton,16.0,83.216,1.0,Spain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Partly cloudy
Lewis Hamilton,17.0,83.366,1.0,Spain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Partly cloudy
Lewis Hamilton,18.0,83.406,1.0,Spain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Partly cloudy
Lewis Hamilton,19.0,83.505,1.0,Spain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Partly cloudy
Lewis Hamilton,20.0,83.394,1.0,Spain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Partly cloudy
Lewis Hamilton,21.0,83.41,1.0,Spain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Partly cloudy
Lewis Hamilton,22.0,83.699,1.0,Spain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Partly cloudy
Lewis Hamilton,23.0,87.175,1.0,Spain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Partly cloudy
Lewis Hamilton,24.0,104.038,1.0,Spain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Partly cloudy
Lewis Hamilton,25.0,83.845,1.0,Spain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Partly cloudy
Lewis Hamilton,26.0,83.659,1.0,Spain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Partly cloudy
Lewis Hamilton,27.0,83.67,1.0,Spain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Partly cloudy
Lewis Hamilton,28.0,83.275,1.0,Spain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Partly cloudy
Lewis Hamilton,29.0,83.688,1.0,Spain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Partly cloudy
Lewis Hamilton,30.0,83.343,1.0,Spain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Partly cloudy
Lewis Hamilton,31.0,83.007,1.0,Spain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Partly cloudy
Lewis Hamilton,32.0,83.102,1.0,Spain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Partly cloudy
Lewis Hamilton,33.0,83.002,1.0,Spain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Partly cloudy
Lewis Hamilton,34.0,82.658,1.0,Spain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Partly cloudy
Lewis Hamilton,35.0,82.948,1.0,Spain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Partly cloudy
Lewis Hamilton,36.0,82.44,1.0,Spain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Partly cloudy
Lewis Hamilton,37.0,82.826,1.0,Spain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Partly cloudy
Lewis Hamilton,38.0,82.502,1.0,Spain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Partly cloudy
Lewis Hamilton,39.0,82.273,1.0,Spain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Partly cloudy
Lewis Hamilton,40.0,82.213,1.0,Spain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Partly cloudy
Lewis Hamilton,41.0,82.438,1.0,Spain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Partly cloudy
Lewis Hamilton,42.0,82.305,1.0,Spain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Partly cloudy
Lewis Hamilton,43.0,82.129,1.0,Spain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Partly cloudy
Lewis Hamilton,44.0,82.141,1.0,Spain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Partly cloudy
Lewis Hamilton,45.0,81.539,1.0,Spain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Partly cloudy
Lewis Hamilton,46.0,82.064,1.0,Spain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Partly cloudy
Lewis Hamilton,47.0,82.149,1.0,Spain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Partly cloudy
Lewis Hamilton,48.0,83.063,1.0,Spain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Partly cloudy
Lewis Hamilton,49.0,81.954,1.0,Spain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Partly cloudy
Lewis Hamilton,50.0,84.99,1.0,Spain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Partly cloudy
Lewis Hamilton,51.0,100.359,1.0,Spain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Partly cloudy
Lewis Hamilton,52.0,80.274,1.0,Spain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Partly cloudy
Lewis Hamilton,53.0,80.892,1.0,Spain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Partly cloudy
Lewis Hamilton,54.0,80.901,1.0,Spain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Partly cloudy
Lewis Hamilton,55.0,81.22,1.0,Spain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Partly cloudy
Lewis Hamilton,56.0,81.446,1.0,Spain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Partly cloudy
Lewis Hamilton,57.0,81.498,1.0,Spain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Partly cloudy
Lewis Hamilton,58.0,81.379,1.0,Spain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Partly cloudy
Lewis Hamilton,59.0,80.964,1.0,Spain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Partly cloudy
Lewis Hamilton,60.0,81.223,1.0,Spain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Partly cloudy
Lewis Hamilton,61.0,81.397,1.0,Spain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Partly cloudy
Lewis Hamilton,62.0,80.975,1.0,Spain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Partly cloudy
Lewis Hamilton,63.0,79.822,1.0,Spain,0.92,0.84,0.92,0.0,8,1200,1,35.0,Partly cloudy
