driver,lap_number,lap_time,position,race,aggressiveness,defensive_ability,stamina,total_overtakes,championships,employees,engine_manufacturer,Age,weather
Sergio Perez,1.0,100.485,20.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,2.0,92.531,18.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,3.0,92.331,18.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,4.0,89.676,18.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,5.0,91.635,18.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,6.0,70.061,18.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,7.0,59.233,16.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,8.0,59.698,14.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,9.0,58.746,13.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,10.0,58.095,12.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,11.0,59.438,11.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,12.0,59.026,11.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,13.0,58.651,11.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,14.0,58.719,11.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,15.0,58.878,11.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,16.0,58.71,11.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,17.0,58.878,11.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,18.0,59.089,11.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,19.0,59.452,11.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,20.0,58.756,10.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,21.0,58.861,9.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,22.0,58.775,9.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,23.0,59.136,9.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,24.0,58.642,9.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,25.0,58.604,9.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,26.0,58.338,9.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,27.0,58.601,9.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,28.0,58.558,8.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,29.0,58.617,6.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,30.0,58.71,5.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,31.0,58.545,5.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,32.0,58.624,5.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,33.0,59.02,5.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,34.0,58.698,5.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
Sergio Perez,35.0,58.788,5.0,Sakhir,0.9,0.76,0.8,11.0,0,0,0,30.0,Clear
